統合ID,文字,カード番号,字体数,用例数,部首,枚数,
09296,耽,0180,0,1,128,1,
09348,肉,0181,0,1,130,1,
09439,脆,0182,0,1,130,1,
09636,舌,0183,0,1,135,1,
09638,舍,0184,0,1,135,1,
09772,苑,0185,0,1,140,1,
09846,草,0186,0,1,140,1,
09863,荼,0187,0,1,140,1,
09925,菴,0188,0,1,140,1,
09966,葉,0189,0,1,140,1,
10203,藤,0190,0,1,140,1,
10232,蘊,0191,0,1,140,1,
10258,蘿,0192,0,1,140,1,
10521,螺,0193,0,1,142,1,
10605,血,0194,0,1,143,1,
10615,衍,0195,0,1,144,1,
10618,術,0196,0,1,144,1,
10636,衢,0197,0,1,144,1,
10820,西,0198,0,1,146,1,
10834,覓,0199,0,1,147,1,
10887,觸,0200,0,1,148,1,
10928,設,0201,0,1,149,1,
11012,誘,0202,0,1,149,1,
11328,貝,0203,0,1,154,1,
11338,貧,0204,0,1,154,1,
11373,資,0205,0,1,154,1,
11404,質,0206,0,1,154,1,
11515,跋,0207,0,1,157,1,
11618,蹈,0208,0,1,157,1,
11831,11831,0209,0,1,159,1,
11841,輸,0210,0,1,159,1,
11965,迫,0211,0,1,162,1,
11986,逆,0212,0,1,162,1,
12004,造,0213,0,1,162,1,
12048,遐,0214,0,1,162,1,
12103,避,0215,0,1,162,1,
12372,里,0216,0,1,166,1,
12391,釧,0217,0,1,167,1,
12418,鈴,0218,0,1,167,1,
12451,銀,0219,0,1,167,1,
12573,鎖,0220,0,1,167,1,
12654,鐵,0221,0,1,167,1,
12657,鐸,0222,0,1,167,1,
12692,鑽,0223,0,1,167,1,
12768,闇,0224,0,1,169,1,
12790,關,0225,0,1,169,1,
12833,陂,0226,0,1,170,1,
12867,陵,0227,0,1,170,1,
12883,隅,0228,0,1,170,1,
12913,際,0229,0,1,170,1,
12962,雅,0230,0,1,172,1,
13026,電,0231,0,1,173,1,
13054,霞,0232,0,1,173,1,
13073,露,0233,0,1,173,1,
13092,靈,0234,0,1,173,1,
13108,面,0235,0,1,176,1,
13325,頗,0236,0,1,181,1,
13327,領,0237,0,1,181,1,
13409,顧,0238,0,1,181,1,
13526,飮,0239,0,1,184,1,
13641,饒,0240,0,1,184,1,
13820,騰,0241,0,1,187,1,
13959,髮,0242,0,1,190,1,
14057,鬻,0243,0,1,193,1,
14061,鬼,0244,0,1,194,1,
14101,魚,0245,0,1,195,1,
14366,鳩,0246,0,1,196,1,
14681,麻,0247,0,1,200,1,
14776,鼓,0248,0,1,207,1,
14887,龜,0249,0,1,213,1,
00001,一,0250,1,273,001,6,
00004,七,0256,1,6,001,1,
00007,三,0257,1,57,001,2,
00008,上,0259,1,32,001,1,
00009,下,0260,1,15,001,1,
00013,不,0261,1,66,001,2,
00025,世,0263,1,43,001,1,
00026,丘,0264,1,45,001,1,
00051,中,0265,1,52,002,2,
00068,丸,0267,1,7,003,1,
00070,主,0268,1,2,003,1,
00078,乃,0269,1,8,004,1,
00085,久,0270,1,2,004,1,
00088,之,0271,1,40,004,1,
00102,乘,0272,1,11,004,1,
00107,九,0273,1,2,005,1,
00125,了,0274,1,7,006,1,
00128,事,0275,1,4,006,1,
00129,二,0276,1,9,007,1,
00133,云,0277,1,28,007,1,
00135,五,0278,1,4,007,1,
00168,人,0279,1,28,009,1,
00175,今,0280,1,2,009,1,
00183,他,0281,1,3,009,1,
00193,令,0282,1,91,009,2,
00194,以,0284,1,58,009,2,
00199,仰,0286,1,7,009,1,
00217,伏,0287,1,4,009,1,
00236,伽,0288,1,6,009,1,
00243,位,0289,1,4,009,1,
00245,住,0290,1,31,009,1,
00250,何,0291,1,36,009,1,
00255,佛,0292,1,52,009,2,
00256,作,0294,1,33,009,1,
00279,使,0295,1,2,009,1,
00282,來,0296,1,16,009,1,
00299,供,0297,1,14,009,1,
00301,依,0298,1,8,009,1,
00321,便,0299,1,17,009,1,
00345,信,0300,1,7,009,1,
00489,像,0301,1,2,009,1,
00520,億,0302,1,2,009,1,
00542,優,0303,1,4,009,1,
00562,充,0304,1,5,010,1,
00566,先,0305,1,8,010,1,
00567,光,0306,1,31,010,1,
00570,免,0307,1,6,010,1,
00579,兜,0308,1,6,010,1,
00582,入,0309,1,34,011,1,
00585,内,0310,1,5,011,1,
00594,八,0311,1,3,012,1,
00597,六,0312,1,3,012,1,
00599,共,0313,1,33,012,1,
00605,其,0314,1,106,012,3,
00606,具,0317,1,15,012,1,
00646,冠,0318,1,2,014,1,
00723,出,0319,1,26,017,1,
00734,分,0320,1,8,018,1,
00735,切,0321,1,224,018,5,
00759,初,0326,1,3,018,1,
00763,別,0327,1,21,018,1,
00767,利,0328,1,14,018,1,
00769,到,0329,1,5,018,1,
00782,刺,0330,1,2,018,1,
00789,則,0331,1,5,018,1,
00794,前,0332,1,9,018,1,
00803,剛,0333,1,3,018,1,
00856,力,0334,1,17,019,1,
00857,功,0335,1,22,019,1,
00859,劣,0336,1,2,019,1,
00865,劫,0337,1,4,019,1,
00881,勇,0338,1,2,019,1,
00887,動,0339,1,3,019,1,
00893,勝,0340,1,11,019,1,
00900,勤,0341,1,3,019,1,
00938,化,0342,1,12,021,1,
00951,匝,0343,1,14,022,1,
00985,十,0344,1,22,024,1,
00987,千,0345,1,19,024,1,
01010,南,0346,1,7,024,1,
01034,印,0347,1,2,026,1,
01049,即,0348,1,5,026,1,
01058,厄,0349,1,2,027,1,
01088,厭,0350,1,8,027,1,
01101,去,0351,1,7,028,1,
01108,又,0352,1,6,029,1,
01109,叉,0353,1,5,029,1,
01111,及,0354,1,15,029,1,
01127,取,0355,1,4,029,1,
01128,受,0356,1,10,029,1,
01154,可,0357,1,22,030,1,
01158,右,0358,1,2,030,1,
01168,各,0359,1,4,030,1,
01170,合,0360,1,7,030,1,
01174,同,0361,1,8,030,1,
01175,名,0362,1,67,030,2,
01179,向,0364,1,9,030,1,
01212,吹,0365,1,2,030,1,
01219,告,0366,1,8,030,1,
01235,周,0367,1,9,030,1,
01252,命,0368,1,2,030,1,
01263,和,0369,1,2,030,1,
01288,咸,0370,1,3,030,1,
01305,哉,0371,1,10,030,1,
01349,唯,0372,1,21,030,1,
01363,商,0373,1,3,030,1,
01369,問,0374,1,9,030,1,
01395,善,0375,1,167,030,4,
01412,喜,0379,1,14,030,1,
01439,嗅,0380,1,2,030,1,
01523,器,0381,1,2,030,1,
01581,嚴,0382,1,35,030,1,
01607,四,0383,1,10,031,1,
01611,因,0384,1,25,031,1,
01639,國,0385,1,13,031,1,
01641,圍,0386,1,36,031,1,
01644,園,0387,1,14,031,1,
01645,圓,0388,1,2,031,1,
01654,土,0389,1,6,032,1,
01659,在,0390,1,23,032,1,
01666,地,0391,1,30,032,1,
01690,坦,0392,1,5,032,1,
01710,垂,0393,1,3,032,1,
01726,垢,0394,1,6,032,1,
01740,城,0395,1,28,032,1,
01755,執,0396,1,5,032,1,
01767,堅,0397,1,4,032,1,
01796,報,0398,1,2,032,1,
01798,場,0399,1,3,032,1,
01818,塗,0400,1,5,032,1,
01831,塵,0401,1,5,032,1,
01839,境,0402,1,15,032,1,
01853,増,0403,1,4,032,1,
01895,壞,0404,1,6,032,1,
01934,外,0405,1,4,036,1,
01938,多,0406,1,22,036,1,
01939,夜,0407,1,20,036,1,
01946,大,0408,1,82,037,2,
01947,天,0410,1,65,037,2,
01957,失,0412,1,4,037,1,
01961,夷,0413a,2,1,037,1,
01961b,夷,0413b,2,1,037,1,
02013,奪,0414,1,2,037,1,
02022,女,0415,1,12,038,1,
02029,好,0416,1,5,038,1,
02031,如,0417,1,107,038,3,
02045,妙,0420,1,20,038,1,
02105,威,0421,1,6,038,1,
02110,娑,0422,1,2,038,1,
02142,婆,0423,1,13,038,1,
02262,子,0424,1,112,039,3,
02264,孔,0427,1,4,039,1,
02306,宅,0428,1,2,040,1,
02309,安,0429,1,12,040,1,
02325,定,0430,1,4,040,1,
02342,宮,0431,1,12,040,1,
02349,家,0432,1,2,040,1,
02355,宿,0433,1,4,040,1,
02357,寂,0434,1,4,040,1,
02383,察,0435,1,6,040,1,
02390,實,0436,1,3,040,1,
02407,寶,0437,1,58,040,2,
02425,將,0439,1,3,041,1,
02426,專,0440,1,3,041,1,
02430,尋,0441,1,2,041,1,
02464,就,0442,1,24,043,1,
02482,居,0443,1,3,044,1,
02528,山,0444,1,15,046,1,
02564,岸,0445,1,3,046,1,
02780,差,0446,1,9,048,1,
02783,已,0447,1,26,049,1,
02800,布,0448,1,6,050,1,
02820,帝,0449,1,4,050,1,
02835,師,0450,1,24,050,1,
02843,帳,0451,1,2,050,1,
02847,常,0452,1,15,050,1,
02881,幡,0453,1,2,050,1,
02882,幢,0454,1,6,050,1,
02899,平,0455,1,13,051,1,
