統合ID,文字,和寧花67,字体数,用例数,部首
09966,葉,0189,0,1,140
10203,藤,0190,0,1,140
10232,蘊,0191,0,1,140
10258,蘿,0192,0,1,140
10521,螺,0193,0,1,142
10605,血,0194,0,1,143
10615,衍,0195,0,1,144
10618,術,0196,0,1,144
10636,衢,0197,0,1,144
10820,西,0198,0,1,146
10834,覓,0199,0,1,147
10887,觸,0200,0,1,148
10928,設,0201,0,1,149
11012,誘,0202,0,1,149
11328,貝,0203,0,1,154
11338,貧,0204,0,1,154
11373,資,0205,0,1,154
11404,質,0206,0,1,154
11515,跋,0207,0,1,157
11618,蹈,0208,0,1,157
11831,輭,0209,0,1,159
11841,輸,0210,0,1,159
11965,迫,0211,0,1,162
11986,逆,0212,0,1,162
12004,造,0213,0,1,162
12048,遐,0214,0,1,162
12103,避,0215,0,1,162
12372,里,0216,0,1,166
12391,釧,0217,0,1,167
12418,鈴,0218,0,1,167
12451,銀,0219,0,1,167
12573,鎖,0220,0,1,167
12654,鐵,0221,0,1,167
12657,鐸,0222,0,1,167
12692,鑽,0223,0,1,167
12768,闇,0224,0,1,169
12790,關,0225,0,1,169
12833,陂,0226,0,1,170
12867,陵,0227,0,1,170
12883,隅,0228,0,1,170
12913,際,0229,0,1,170
12962,雅,0230,0,1,172
13026,電,0231,0,1,173
13054,霞,0232,0,1,173
13073,露,0233,0,1,173
13092,靈,0234,0,1,173
13108,面,0235,0,1,176
13325,頗,0236,0,1,181
13327,領,0237,0,1,181
13409,顧,0238,0,1,181
13526,飮,0239,0,1,184
13641,饒,0240,0,1,184
13820,騰,0241,0,1,187
13959,髮,0242,0,1,190
14057,鬻,0243,0,1,193
14061,鬼,0244,0,1,194
14101,魚,0245,0,1,195
14366,鳩,0246,0,1,196
14681,麻,0247,0,1,200
14776,鼔,0248,0,1,207
14887,龜,0249,0,1,213
00001,一,0250,1,273,001
00004,七,0256,1,6,001
00007,三,0257,1,57,001
00008,上,0259,1,32,001
00009,下,0260,1,15,001
00013,不,0261,1,66,001
00025,世,0263,1,43,001
00026,丘,0264,1,45,001
00051,中,0265,1,52,002
00068,丸,0267,1,7,003
00070,主,0268,1,2,003
00078,乃,0269,1,8,004
00085,久,0270,1,2,004
00088,之,0271,1,40,004
00102,乘,0272,1,11,004
00107,九,0273,1,2,005
00125,了,0274,1,7,006
00128,事,0275,1,4,006
00129,二,0276,1,9,007
00133,云,0277,1,28,007
00135,五,0278,1,4,007
00168,人,0279,1,28,009
00175,今,0280,1,2,009
00183,他,0281,1,3,009
00193,令,0282,1,91,009
00194,以,0284,1,58,009
00199,仰,0286,1,7,009
00217,伏,0287,1,4,009
00236,伽,0288,1,6,009
00243,位,0289,1,4,009
00245,住,0290,1,31,009
00250,何,0291,1,36,009
00255,佛,0292,1,52,009
00256,作,0294,1,33,009
00279,使,0295,1,2,009
00282,來,0296,1,16,009
00299,供,0297,1,14,009
00301,依,0298,1,8,009
00321,便,0299,1,17,009
00345,信,0300,1,7,009
00489,像,0301,1,2,009
00520,億,0302,1,2,009
00542,優,0303,1,4,009
00562,充,0304,1,5,010
00566,先,0305,1,8,010
00567,光,0306,1,31,010
00570,免,0307,1,6,010
00579,兜,0308,1,6,010
00582,入,0309,1,34,011
00585,内,0310,1,5,011
00594,八,0311,1,3,012
00597,六,0312,1,3,012
00599,共,0313,1,33,012
00605,其,0314,1,106,012
00606,具,0317,1,15,012
00646,冠,0318,1,2,014
00723,出,0319,1,26,017
00734,分,0320,1,8,018
00735,切,0321,1,224,018
00759,初,0326,1,3,018
00763,別,0327,1,21,018
00767,利,0328,1,14,018
00769,到,0329,1,5,018
00782,刺,0330,1,2,018
00789,則,0331,1,5,018
00794,前,0332,1,9,018
00803,剛,0333,1,3,018
00856,力,0334,1,17,019
00857,功,0335,1,22,019
00859,劣,0336,1,2,019
00865,劫,0337,1,4,019
00881,勇,0338,1,2,019
00887,動,0339,1,3,019
00893,勝,0340,1,11,019
00900,勤,0341,1,3,019
00938,化,0342,1,12,021
00951,匝,0343,1,14,022
