カード番号,文字,字体数,用例数,用例数2,用例数3,大字典番号,部首番号
0368,矚,0,,,,07928,109
0369,盲,0,,,,07796,109
0370,睹,2,6,1,,07870,109
0371,睿,0,,,,07873,109
0372,眼,0,,,,07843,109
0373,瞻,0,,,,07907,109
0374,矜,0,,,,07930,110
0375,矯,0,,,,07951,111
0376,短,0,,,,07948,111
0377,碩,0,,,,08029,112
0378,磨,0,,,,08057,112
0379,石,0,,,,07954,112
0380,祿,0,,,,08141,113
0381,禎,0,,,,08147,113
0382,禁,0,,,,08143,113
0383,08150,0,,,,08150,113
0384,祉,0,,,,08109,113
0385,祇,0,,,,08107,113
0386,社,0,,,,08101,113
0387,稀,0,,,,08213,115
0388,積,0,,,,08269,115
0389,稔,0,,,,08229,115
0390,稻,0,,,,08256,115
0391,禾,0,,,,08177,115
0392,稽,0,,,,08258,115
0393,秩,0,,,,08206,115
0394,移,0,,,,08212,115
0395,秦,0,,,,08204,115
0396,08325,0,,,,08325,116
0397,窮,0,,,,08329,116
0398,竟,0,,,,08365,117
0399,竭,0,,,,08375,117
0400,笑,0,,,,08396,118
0401,管,0,,,,08477,118
0402,篇,0,,,,08500,118
0403,08634,0,,,,08634,118
0404,08541,0,,,,08541,118
0405,範,0,,,,08497,118
0406,筵,0,,,,08457,118
0407,竹,0,,,,08382,118
0408,籍,0,,,,08603,118
0409,箋,0,,,,08462,118
0410,粟,0,,,,08664,119
0411,紺,0,,,,08788,120
0412,紛,0,,,,08760,120
0413,紘,0,,,,08757,120
0414,紀,0,,,,08735,120
0415,細,0,,,,08779,120
0416,緒,0,,,,08913,120
0417,緬,0,,,,08933,120
0418,給,0,,,,08822,120
0419,線,0,,,,08916,120
0420,紹,0,,,,08787,120
0421,08950,0,,,,08950,120
0422,絲,0,,,,08834,120
0423,約,0,,,,08738,120
0424,組,0,,,,08797,120
0425,綿,0,,,,08899,120
0426,繩,0,,,,09028,120
0427,繼,0,,,,09047,120
0428,纛,0,,,,09078,120
0429,纓,0,,,,09072,120
0430,08710,0,,,,08710,119
0431,綸,0,,,,08891,120
0432,練,0,,,,08938,120
0433,纖,0,,,,09075,120
0434,織,0,,,,09012,120
0435,纔,0,,,,09073,120
0436,纜,0,,,,09079,120
0437,縱,0,,,,08982,120
0438,締,0,,,,08921,120
0439,素,0,,,,08765,120
0440,紫,0,,,,08773,120
0441,09055,0,,,,09055,120
0442,08945,0,,,,08945,120
0443,罪,0,,,,09125,122
0444,羯,0,,,,09182,123
0445,羊,0,,,,09150,123
0446,羞,0,,,,09168,123
0447,翦,0,,,,09228,124
0448,習,0,,,,09214,124
0449,翹,0,,,,09240,124
0450,翼,0,,,,09245,124
0451,職,0,,,,09332,128
0452,聾,0,,,,09336,128
0453,聳,0,,,,09329,128
0454,聯,0,,,,09325,128
0455,09330,0,,,,09330,128
0456,胡,0,,,,09411,130
0457,臘,0,,,,09584,130
0458,臆,0,,,,09572,130
0459,朏,0,,,,04681,074
0460,膽,0,,,,09562,130
0461,胥,0,,,,09414,130
0462,脇,0,,,,09436,130
0463,臚,0,,,,09587,130
0464,般,0,,,,09665,137
0465,艱,0,,,,09715,138
0466,藁,0,,,,10183,140
0467,10121,0,,,,10121,140
0468,10022,0,,,,10022,140
0469,萃,0,,,,09934,140
0470,墓,0,,,,01850,032
0471,薨,0,,,,10162,140
0472,茂,0,,,,09807,140
0473,艾,0,,,,09725,140
0474,薄,0,,,,10139,140
0475,蔟,0,,,,10079,140
0476,苟,0,,,,09782,140
0477,葦,0,,,,09982,140
0478,菴,0,,,,09925,140
0479,芟,0,,,,09743,140
0480,蓬,0,,,,10048,140
0481,蔭,0,,,,10086,140
0482,藥,0,,,,10204,140
0483,藍,0,,,,10189,140
0484,虐,0,,,,10266,141
0486,號,2,3,1,,10276,141
0487,虜,0,,,,10273,141
0488,蝉,0,,,,10546,142
0489,10287,0,,,,10287,142
0490,蜀,0,,,,10390,142
0491,蟠,0,,,,10540,142
0492,蠹,0,,,,10600,142
0493,蟄,0,,,,10528,142
0494,衒,0,,,,10617,144
0495,衡,0,,,,10631,144
0496,術,0,,,,10618,144
0497,衢,0,,,,10636,144
0498,襟,0,,,,10792,145
0499,裳,0,,,,10724,145
0500,衷,0,,,,10653,145
0501,袒,0,,,,10669,145
0502,10682,0,,,,10682,145
0503,被,0,,,,10683,145
0504,袞,0,,,,10675,145
0505,裁,0,,,,10696,145
0506,10761,0,,,,10761,145
0507,覆,0,,,,10826,146
0508,覬,0,,,,10849,147
0509,角,0,,,,10860,148
0510,詞,0,,,,10967,149
0511,諱,0,,,,11079,149
0512,謝,0,,,,11121,149
0513,詣,0,,,,10974,149
0514,詳,0,,,,10984,149
0515,訣,0,,,,10920,149
0516,謄,0,,,,11098,149
0517,譬,0,,,,11189,149
0518,詢,0,,,,10972,149
0519,諺,0,,,,11086,149
0520,譚,0,,,,11172,149
0521,諮,0,,,,11076,149
0522,諏,0,,,,11053,149
0523,謬,0,,,,11134,149
0524,訊,0,,,,10897,149
0525,許,0,,,,10930,149
0526,謐,0,,,,11111,149
0527,詩,0,,,,10979,149
0528,諧,0,,,,11073,149
0529,謁,0,,,,11094,149
0530,託,0,,,,10913,149
0531,誣,0,,,,11021,149
0532,訛,0,,,,10916,149
0533,M35254,0,,,,M35254,149
0534,11167,0,,,,11167,149
0535,讌,0,,,,11217,149
0536,詬,0,,,,10981,149
0537,10943,0,,,,10943,149
0538,讎,0,,,,11220,149
0539,谷,0,,,,11234,150
0540,11280,0,,,,11280,152
0541,貴,0,,,,11355,154
0542,貫,0,,,,11343,154
0543,貢,0,,,,11335,154
0544,貝,0,,,,11328,154
0545,11422,0,,,,11422,154
0546,賊,0,,,,11377,154
0547,貯,0,,,,11349,154
0548,11410,0,,,,11410,154
0549,07329x3,0,,,,07329x3,096
0550,賓,0,,,,11386,154
0551,11358,0,,,,11358,154
0552,贊,0,,,,11432,154
0553,赤,0,,,,11445,155
0554,趨,0,,,,11490,156
0555,跪,0,,,,11542,157
0556,踵,0,,,,11597,157
0557,跋,0,,,,11515,157
0558,趾,0,,,,11504,157
0559,躡,0,,,,11708,157
0560,踊,0,,,,11565,157
0561,躅,0,,,,11678,157
0562,軻,0,,,,11782,159
0563,輦,0,,,,11823,159
0564,輕,0,,,,11802,159
0565,較,0,,,,11791,159
0566,輝,0,,,,11815,159
0567,軌,0,,,,11744,159
0568,辜,0,,,,11896,160
0569,農,0,,,,11919,161
0570,遼,0,,,,12099,162
0571,逞,0,,,,12002,162
0572,速,0,,,,12003,162
0573,逢,0,,,,12009,162
0574,遮,0,,,,12083,162
0575,遏,0,,,,12047,162
0576,逝,0,,,,12001,162
0577,逗,0,,,,11998,162
0578,廻,0,,,,03008,054
0580,郷,0,,,,12205,163
0581,郡,0,,,,12170,163
0582,郊,0,,,,12160,163
0583,郭,0,,,,12179,163
0584,那,0,,,,12134,163
0585,郢,0,,,,12171,163
0586,釁,0,,,,12362,164
0587,酬,0,,,,12294,164
0588,醴,0,,,,12350,164
0589,12355,0,,,,12355,164
0590,酒,0,,,,12266,164
0591,醫,0,,,,12341,164
0592,采,0,,,,12367,165
0593,里,0,,,,12372,166
0594,野,0,,,,12374,166
0595,12395,0,,,,12395,167
0596,銑,0,,,,12459,167
0597,12479,0,,,,12479,167
0598,鐘,0,,,,12645,167
0599,鎔,0,,,,12570,167
0600,12664,0,,,,12664,167
0601,鍾,0,,,,12563,167
0602,鋪,0,,,,12494,167
0604,鑑,2,1,1,,12665,167
0605,欽,0,,,,05589,076
0606,12781,0,,,,12781,169
0607,閑,0,,,,12722,169
0608,12778,0,,,,12778,169
0609,閣,0,,,,12739,169
0610,閭,0,,,,12750,169
0611,關,0,,,,12790,169
0612,12769,0,,,,12769,169
0613,12897,0,,,,12897,170
0614,陣,0,,,,12854,170
0615,陸,0,,,,12870,170
0616,陟,0,,,,12851,170
0617,院,0,,,,12853,170
0618,12828,0,,,,12828,170
0619,限,0,,,,12839,170
0620,隸,0,,,,12945,171
0621,雄,0,,,,12961,172
0622,雁,0,,,,12957,172
0623,崔,0,,,,02617,046
0624,靄,0,,,,13088,173
0625,霰,0,,,,13072,173
0626,霞,0,,,,13054,173
0627,霧,0,,,,13063,173
0628,霜,0,,,,13052,173
0629,雷,0,,,,13023,173
0630,青,0,,,,13095,174
0631,靦,0,,,,13114,176
0632,革,0,,,,13121,177
0633,13261,0,,,,13261,178
0634,響,0,,,,13293,180
0635,顰,0,,,,13417,181
0636,頻,0,,,,13359,181
0637,頷,0,,,,13354,181
0638,頌,0,,,,13307,181
0639,13344,0,,,,13344,181
0640,顏,0,,,,13380,181
0641,饒,0,,,,13641,184
0642,餌,0,,,,13552,184
0643,餠,0,,,,13573,184
0644,飾,0,,,,13542,184
0645,騁,0,,,,13773,187
0646,駕,0,,,,13724,187
0647,馳,0,,,,13688,187
0648,驅,0,,,,13839,187
0649,驚,0,,,,13852,187
0650,鬚,0,,,,14002,190
0651,鬘,0,,,,13999,190
0652,魄,0,,,,14072,194
0653,魏,0,,,,14084,194
0654,魯,0,,,,14116,195
0655,鳩,0,,,,14366,196
0656,鳳,0,,,,14378,196
0657,鵝,0,,,,14473,196
0658,鳴,0,,,,14379,196
0659,鴻,0,,,,14446,196
0660,鴃,0,,,,14393,196
0661,麟,0,,,,14655,198
0662,麗,0,,,,14645,198
0663,黍,0,,,,14699,202
0664,麻,0,,,,14681,200
0665,黌,0,,,,14698,201
0666,鼠,0,,,,14790,208
0667,齎,0,,,,14831,210
0668,齋,0,,,,14829,210
0669,齡,0,,,,14850,211
0670,龜,0,,,,14887,213
0671,丘,1,3,,,00026,001
0672,世,1,6,,,00025,001
0673,不,1,38,,,00013,001
0674,一,1,45,,,00001,001
0675,且,1,9,,,00020,001
0676,上,1,11,,,00008,001
0677,七,1,12,,,00004,001
0678,三,1,40,,,00007,001
0679,下,1,10,,,00009,001
0680,中,1,29,,,00051,002
0681,主,1,5,,,00070,003
0682,丹,1,2,,,00069,003
0683-0686,之,1,181,,,00088,004
0687,久,1,5,,,00085,004
0688,乎,1,25,,,00092,004
0689,乘,1,8,,,00102,004
0690,乖,1,2,,,00100,004
0691,乃,1,22,,,00078,004
0692,乍,1,3,,,00090,004
0693,九,1,10,,,00107,005
0694,也,1,39,,,00109,005
0695,事,1,17,,,00128,006
0696,了,1,2,,,00125,006
0697,互,1,2,,,00134,007
0698,井,1,2,,,00136,007
0699,五,1,19,,,00135,007
0700,云,1,13,,,00133,007
0701,二,1,37,,,00129,007
0702,于,1,6,,,00132,007
0703,京,1,5,,,00157,008
0704,亦,1,8,,,00154,008
0705,亮,1,2,,,00161,008
0706,享,1,2,,,00156,008
0707,以,1,52,,,00194,009
0708,傍,1,2,,,00449,009
0709,俾,1,8,,,00360,009
0710,令,1,14,,,00193,009
0711,今,1,10,,,00175,009
0712,倶,1,3,,,00350,009
0713,但,1,2,,,00240,009
0714,仙,1,2,,,00186,009
0715,作,1,6,,,00256,009
0716,佛,1,9,,,00255,009
0717,侍,1,2,,,00288,009
0718,供,1,3,,,00299,009
0719,假,1,2,,,00405,009
0720,儀,1,3,,,00516,009
0721,儼,1,10,,,00555,009
0722,伏,1,6,,,00217,009
0723,人,1,37,,,00168,009
0724,仍,1,10,,,00177,009
0725,信,1,7,,,00345,009
0726,伽,1,5,,,00236,009
0727,代,1,6,,,00192,009
0728,僅,1,2,,,00479,009
0729,偉,1,2,,,00407,009
0730,偈,1,6,,,00406,009
0731,僧,1,14,,,00503,009
0732,來,1,20,,,00282,009
0733,仰,1,4,,,00199,009
0734,他,1,2,,,00183,009
0735,何,1,4,,,00250,009
0736,傳,1,30,,,00468,009
0737,値,1,2,,,00385,009
0738,便,1,5,,,00321,009
0739,俗,1,8,,,00338,009
0740,00293,1,2,,,00293,009
0741,依,1,2,,,00301,009
0742,伐,1,2,,,00218,009
0743,侶,1,2,,,00316,009
0744,像,1,5,,,00489,009
0745,使,1,15,,,00279,009
0746,元,1,11,,,00560,010
0747,光,1,22,,,00567,010
0748,先,1,9,,,00566,010
0749,兄,1,2,,,00561,010
0750,全,1,2,,,00589,011
0751,入,1,12,,,00582,011
0752,内,1,7,,,00585,011
0753,兩,1,11,,,00591,011
0754,典,1,3,,,00608,012
0755,公,1,7,,,00596,012
0756,八,1,5,,,00594,012
0757,六,1,15,,,00597,012
0758,共,1,3,,,00599,012
0759,兼,1,4,,,00613,012
0760,具,1,8,,,00606,012
0761,其,1,48,,,00605,012
0762,兵,1,2,,,00602,012
0763,再,1,4,,,00629,013
0764,冊,1,2,,,00625,013
0765,冠,1,2,,,00646,014
0766,次,1,3,,,05558,076
0767,冬,1,3,,,00662,015
0768,冰,1,2,,,00664,015
0769,凡,1,2,,,00701,016
0770,出,1,16,,,00723,017
0771,分,1,7,,,00734,018
0772,列,1,2,,,00754,018
0773,制,1,4,,,00776,018
0774,切,1,2,,,00735,018
0775,利,1,7,,,00767,018
0776,前,1,15,,,00794,018
0777,削,1,3,,,00791,018
0778,別,1,12,,,00763,018
0779,則,1,24,,,00789,018
0780,劍,1,2,,,00843,018
0781,判,1,2,,,00761,018
0782,力,1,8,,,00856,019
0783,加,1,9,,,00858,019
0784,助,1,2,,,00863,019
0785,功,1,11,,,00857,019
0786,動,1,3,,,00887,019
0787,勝,1,3,,,00893,019
0788,勒,1,2,,,00885,019
0789,務,1,3,,,00890,019
0790,勞,1,3,,,00894,019
0791,勤,1,3,,,00900,019
0792,勅,1,7,,,00879,019
0793,化,1,7,,,00938,021
0794,匪,1,2,,,00959,022
0795,匹,1,2,,,00975,023
0796,午,1,2,,,00992,024
0797,十,1,45,,,00985,024
0798,千,1,8,,,00987,024
0799,南,1,4,,,01010,024
0800,博,1,5,,,01016,024
0801,半,1,2,,,00994,024
0802,卒,1,2,,,01004,024
0803,卷,1,21,,,01040,026
0804,即,1,7,,,01049,026
0805,原,1,2,,,01074,027
0806,去,1,2,,,01101,028
0807,受,1,6,,,01128,029
0808,取,1,4,,,01127,029
0809,及,1,15,,,01111,029
0810,叛,1,2,,,01133,029
0811,友,1,2,,,01112,029
0812,又,1,7,,,01108,029
0813,周,1,6,,,01235,030
0814,命,1,12,,,01252,030
0815,吼,1,2,,,01215,030
0816,后,1,3,,,01176,030
0817,口,1,2,,,01141,030
0818,向,1,3,,,01179,030
0819,呈,1,2,,,01203,030
0820,同,1,10,,,01174,030
0821,句,1,2,,,01143,030
0822,召,1,3,,,01150,030
0823,唯,1,4,,,01349,030
0824,史,1,8,,,01157,030
0825,古,1,9,,,01142,030
0826,嚴,1,31,,,01581,030
0828,君,1,2,,,01185,030
0829,吉,1,2,,,01172,030
0830,合,1,4,,,01170,030
0831,嘉,1,2,,,01468,030
0832,喜,1,7,,,01412,030
0833,品,1,9,,,01296,030
0834,咸,1,2,,,01288,030
0835,味,1,5,,,01242,030
0836,各,1,4,,,01168,030
0837,台,1,2,,,01155,030
0838,告,1,3,,,01219,030
0839,司,1,2,,,01163,030
0840,01160,1,2,,,01160,030
0841,和,1,6,,,01263,030
0842,唐,1,6,,,01342,030
0843,啓,1,5,,,01373,030
0844,器,1,2,,,01523,030
0845,喩,1,3,,,01421,030
0846,哲,1,3,,,01326,030
0847,哉,1,3,,,01305,030
0848,嗟,1,2,,,01451,030
0849,善,1,10,,,01395,030
0850,名,1,16,,,01175,030
0851,可,1,17,,,01154,030
0852,問,1,7,,,01369,030
0853,哀,1,2,,,01295,030
0854,右,1,3,,,01158,030
0855,嘗,1,3,,,01479,030
0856,四,1,19,,,01607,031
0857,固,1,4,,,01627,031
0858,圖,1,2,,,01647,031
0859,國,1,13,,,01639,031
0860,圓,1,12,,,01645,031
0861,因,1,27,,,01611,031
0862,土,1,4,,,01654,032
0863,場,1,7,,,01798,032
0864,在,1,8,,,01659,032
0865,増,1,3,,,01853,032
0866,堂,1,2,,,01765,032
0867,城,1,3,,,01740,032
0868,域,1,3,,,01745,032
0869,垂,1,5,,,01710,032
0870,塵,1,5,,,01831,032
0871,地,1,10,,,01666,032
0872,塔,1,5,,,01816,032
0873,壇,1,2,,,01878,032
0874,均,1,3,,,01674,032
0875,執,1,2,,,01755,032
0876,士,1,8,,,01903,033
0877,夏,1,4,,,01927,035
0878,夢,1,4,,,01943,036
0879,夙,1,2,,,01936,036
0880,夜,1,3,,,01939,036
0881,多,1,13,,,01938,036
