,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
01943,夢,0878,1,4,036
01936,夙,0879,1,2,036
01939,夜,0880,1,3,036
01938,多,0881,1,13,036
01934,外,0882,1,4,036
01972,奇,0883,1,4,037
01981,奏,0884,1,4,037
02010,奧,0885,1,2,037
01974,奉,0886,1,6,037
01984,契,0887,1,5,037
01949,夫,0888,1,3,037
01946,大,0889,1,36,037
01948,太,0890,1,5,037
01947,天,0891,1,33,037
02142,婆,0892,1,3,038
02078,委,0893,1,3,038
02077,姓,0894,1,5,038
02033,妄,0895,1,3,038
02069,始,0896,1,8,038
02031,如,0897,1,26,038
02045,妙,0898,1,11,038
02282,孫,0899,1,3,039
02267,字,0900,1,5,039
02284,孰,0901,1,2,039
02262,子,0902,1,12,039
02293,學,0903,1,16,039
02273,孝,0904,1,3,039
02275,孟,0905,1,2,039
02387,寢,0906,1,2,040
02361,密,0907,1,2,040
02395,審,0908,1,3,040
02372,寓,0909,1,2,040
02390,實,0910,1,13,040
02322,宗,0911,1,19,040
02342,宮,0912,1,2,040
02325,定,0913,1,6,040
02332,室,0914,1,6,040
02327,宜,0915a,2,3,040
02327b,宜,0915b,2,2,040
02309,安,0916,1,10,040
07076,牢,0917,1,2,093
02349,家,0918,1,4,040
02306,宅,0919,1,2,040
02323,官,0920,1,5,040
02357,寂,0921,1,3,040
02386,寡,0922,1,2,040
02396,寫,0923,1,4,040
02373,寔,0924,1,3,040
02316,宏,0925,1,2,040
02358,寄,0926,1,2,040
02407,寶,0927,1,13,040
02413,寸,0928,1,2,041
