統合ID,文字,佛説大教,字体数,用例数,部首
01767,堅,0774a,2,10,032
01767b,堅,0774b,2,5,032
02361,密,0775a,2,4,040
02361b,密,0775b,2,1,040
02473,尼,0776a,2,5,044
02473b,尼,0776b,2,1,044
03101,形,0777a,2,1,059
03101b,形,0777b,2,1,059
03151,從,0778a,2,14,060
03151b,從,0778b,2,5,060
03172,德,0779a,2,5,060
03172b,德,0779b,2,2,060
03367,惡,0780a,2,6,061
03367b,惡,0780b,2,1,061
03636,戲,0781a,2,2,062
03636b,戲,0781b,2,1,062
04298,數,0782a,2,2,066
04298b,數,0782b,2,1,066
04389,於,0783a,2,39,070
04389b,於,0783b,2,3,070
04450,旨,0784a,2,1,072
04450b,旨,0784b,2,1,072
04485,明,0785a,2,19,072
04485b,明,0785b,2,2,072
05161,極,0786a,2,4,075
05161b,極,0786b,2,1,075
05644,此,0787a,2,10,077
05644b,此,0787b,2,3,077
06748,灌,0788a,2,8,085
06748b,灌,0788b,2,4,085
07032,爲,0789a,2,23,087
07032b,爲,0789b,2,2,087
07076,牢,0790a,2,2,093
07076b,牢,0790b,2,1,093
07241,獲,0791a,2,2,094
07241b,獲,0791b,2,1,094
07707,發,0792a,2,3,105
07707b,發,0792b,2,3,105
07785,盧,0793a,2,6,108
07785b,盧,0793b,2,2,108
07827,眞,0794a,2,10,109
07827b,眞,0794b,2,3,109
08077,礙,0795a,2,1,112
08077b,礙,0795b,2,1,112
08265,穆,0796a,2,1,115
08265b,穆,0796b,2,1,115
08426,等,0797a,2,26,118
08426b,等,0797b,2,1,118
08856,經,0798a,2,3,120
08856b,經,0798b,2,1,120
09429,能,0799a,2,7,130
09429b,能,0799b,2,6,130
09629,與,0800a,2,3,134
09629b,與,0800b,2,1,134
09716,色,0801a,2,4,139
09716b,色,0801b,2,1,139
10191,藏,0802a,2,6,140
10191b,藏,0802b,2,1,140
09886,莫,0803,1,3,140
10272,虛,0804a,2,10,141
10272b,虛,0804b,2,2,141
10875,解,0805a,2,3,148
10875b,解,0805b,2,1,148
11495,足,0806a,2,4,157
11495b,足,0806b,2,1,157
12052,達,0807a,2,1,162
12052b,達,0807b,2,1,162
12134,那,0808a,2,7,163
12134b,那,0808b,2,3,163
12441,鉤,0809a,2,12,167
12441b,鉤,0809b,2,1,167
12927,隨,0810a,2,7,170
12927b,隨,0810b,2,1,170
02464,就,0811a,3,7,043
02464b,就,0811b,3,3,043
02464c,就,0811c,3,2,043
03084,彌,0812a,3,2,057
03084b,彌,0812b,3,2,057
03084c,彌,0812c,3,1,057
