カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0713,象,152,1,2,,,11275
0714,貝,154,1,3,,,11328
0715,賢,154,1,19,,,11397
0716,貪,154,1,2,,,11342
0717,貫,154,1,2,,,11343
0718,起,156,1,8,,,11461
0719,身,158,1,23,,,11715
0720,軌,159,1,3,,,11744
0721,轉,159,1,5,,,11856
0722,輪,159,1,17,,,11827
0723,迦,162,1,3,,,11960
0725,遮,162,1,8,,,12083
0726,途,162,1,2,,,11995
0727,道,162,1,3,,,12051
0728,迷,162,1,2,,,11974
0729,述,162,1,4,,,11968
0730,邊,162,1,2,,,12115
0731,通,162,1,7,,,12000
0732,進,162,1,5,,,12022
0733,造,162,1,2,,,12004
0734,適,162,1,2,,,12079
0735,釋,165,1,3,,,12371
0736,重,166,1,3,,,12373
0737,量,166,1,9,,,12376
0738-0739,金,167,1,81,,,12380
0740,闡,169,1,2,,,12795
0741,開,169,1,2,,,12716
0742,間,169,1,2,,,12724
0743,門,169,1,6,,,12709
0744,際,170,1,2,,,12913
0745,阿,170,1,3,,,12830
0746,雖,172,1,2,,,12991
0747,離,172,1,2,,,13001
0748,集,172,1,2,,,12963
0749,難,172,1,3,,,13002
0750,雙,172,1,2,,,12994
0751,雲,173,1,3,,,13020
0752,靜,174,2,2,1,,13103
0753,非,175,1,2,,,13104
0754,音,180,1,3,,,13281
0755,頂,181,1,16,,,13296
0756,須,181,1,2,,,13304
0757,顯,181,1,3,,,13416
0758,願,181,1,3,,,13391
0759,頌,181,1,5,,,13307
0760,風,182,1,4,,,13423
0761,餘,184,1,5,,,13565
0762,體,188,1,4,,,13934
0763,高,189,1,4,,,13940
0764,鬘,190,1,2,,,13999
0765,魔,194,1,2,,,14088
0766,互,007,2,2,1,,00134
0767-0769,來,009,2,126,5,,00282
0770-0771,剛,018,2,62,16,,00803
0772,受,029,2,2,1,,01128
0773,嚴,030,2,1,1,,01581
0774,堅,032,2,10,5,,01767
0775,密,040,2,4,1,,02361
0776,尼,044,2,5,1,,02473
0777,形,059,2,1,1,,03101
0778,從,060,2,14,5,,03151
0779,徳,060,2,5,2,,03172
0780,惡,061,2,6,1,,03367
0781,戲,062,2,2,1,,03636
0782,數,066,2,2,1,,04298
0783,於,070,2,39,3,,04389
0784,旨,072,2,1,1,,04450
0785,明,072,2,19,2,,04485
0786,極,075,2,4,1,,05161
0787,此,077,2,10,3,,05644
0788,灌,085,2,8,4,,06748
0789,爲,087,2,23,2,,07032
0790,牢,093,2,2,1,,07076
0791,獲,094,2,2,1,,07241
0792,發,105,2,3,3,,07707
0793,盧,108,2,6,2,,07785
0794,眞,109,2,10,3,,07827
0795,礙,112,2,1,1,,08077
0796,穆,115,2,1,1,,08265
0797,等,118,2,26,1,,08426
0798,經,120,2,3,1,,08856
0799,能,130,2,7,6,,09429
0800,與,134,2,3,1,,09629
0801,色,139,2,4,1,,09716
0802,藏,140,2,6,1,,10191
0803,莫,140,1,3,,,09886
0804,虚,141,2,10,2,,10272
0805,解,148,2,3,1,,10875
0806,足,157,2,4,1,,11495
0807,達,162,2,1,1,,12052
0808,那,163,2,7,3,,12134
0809,鉤,167,2,12,1,,12441
0810,隨,170,2,7,1,,12927
0811,就,043,3,7,3,2,02464
0812,彌,057,3,2,2,1,03084
