カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0200,預,1 ,3 ,,,,13313,181,1 
0201,頓,1 ,2 ,,,,13316,181,1 
0202,頗,1 ,4 ,,,,13325,181,1 
0203,願,1 ,37 ,,,,13391,181,1 
0204,餘,1 ,4 ,,,,13565,184,1 
0205-0206,亦,2 ,60 ,2 ,,,00154,008,2 
0207,勝,2 ,38 ,3 ,,,00893,019,1 
0208,句,2 ,33 ,1 ,,,01143,030,1 
0209,地,2 ,22 ,1 ,,,01666,032,1 
0210-0215,所,2 ,246 ,11 ,,,03647,063,6 
0216,於,2 ,4 ,1 ,,,04389,070,1 
0217,流,2 ,2 ,1 ,,,06151,085,1 
0218,減,2 ,1 ,1 ,,,06313,085,1 
0219,滅,2 ,3 ,2 ,,,06432,085,1 
0220-0221,礙,2 ,63 ,1 ,,,08077,112,2 
0222-0226,等,2 ,201 ,38 ,,,08426,118,5 
0227,義,2 ,6 ,2 ,,,09177,123,1 
0228-0229,脱,2 ,77 ,2 ,,,09463,130,2 
0230-0231,色,2 ,71 ,9 ,,,09716,139,2 
0232,邊,3 ,39 ,3 ,1 ,,12115,162,1 
0233-0234,間,2 ,87 ,5 ,,,12724,169,2 
0235,隨,2 ,25 ,2 ,,,12927,170,1 
0236-0239,靜,2 ,159 ,13 ,,,13103,174,4 
0240-0241,初,3 ,41 ,22 ,1 ,,00759,018,2 
0242-0244,解,3 ,140 ,1 ,1 ,,10875,148,3 
0245-0248,慮,4 ,141 ,25 ,4 ,2 ,03466,061,4 
