カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,
0338,陛,170,0,,,,12847,,,,
0339,隆,170,0,,,,12886,,,,
0340,雀,172,0,,,,12955,,,,
0341,隼,172,0,,,,12951,,,,
0342,雌,172,0,,,,12971,,,,
0343,難,172,0,,,,13002,,,,
0344,面,176,0,,,,13108,,,,
0345,鞆,177,0,,,,13151,,,,
0346,靭,177,0,,,,13124,,,,
0347,音,180,0,,,,13281,,,,
0348,類,181,0,,,,13398,,,,
0349,領,181,0,,,,13327,,,,
0350,預,181,0,,,,13313,,,,
0351,頸,181,0,,,,13355,,,,
0352,頃,181,0,,,,13297,,,,
0353,食,184,0,,,,13503,,,,
0354,飮,184,0,,,,13526,,,,
0355,飫,184,0,,,,13521,,,,
0356,饉,184,0,,,,13630,,,,
0357,餌,184,0,,,,13552,,,,
0358,餓,184,0,,,,13559,,,,
0359,飢,184,0,,,,13508,,,,
0360,餘,184,0,,,,13565,,,,
0361,驗,187,0,,,,13849,,,,
0363,騰,187,0,,,,13820,,,,
0364,魔,194,0,,,,14088,,,,
0365,鯔,195,0,,,,14207,,,,
0366,鷲,196,0,,,,14576,,,,
0367,14659,198,0,,,,14659,,,,
0368,麻,200,0,,,,14681,,,,
0369,黨,203,0,,,,14730,,,,
0370,龍,212,0,,,,14876,,,,
0371,龜,213,0,,,,14887,,,,
0372-0373,一,001,1,64,,,00001,,,,
0374,世,001,1,9,,,00025,,,,
0375-0376,不,001,1,73,,,00013,,,,
0377,七,001,1,3,,,00004,,,,
0378,上,001,1,28,,,00008,,,,
0379,下,001,1,16,,,00009,,,,
0380,三,001,1,19,,,00007,,,,
0381,且,001,1,12,,,00020,,,,
0382,中,002,1,36,,,00051,,,,
0383,主,003,1,21,,,00070,,,,
0384-0391,之,004,1,355,,,00088,,,,
0392-0393,乃,004,1,62,,,00078,,,,
0394,久,004,1,12,,,00085,,,,
0395,乎,004,1,20,,,00092,,,,
0396-0397,也,005,1,67,,,00109,,,,
0398,乘,004,1,4,,,00102,,,,
0399,乞,005,1,3,,,00108,,,,
0400,乳,005,1,4,,,00113,,,,
0401,事,006,1,23,,,00128,,,,
0402,二,007,1,23,,,00129,,,,
0403,五,007,1,14,,,00135,,,,
0404,云,007,1,44,,,00133,,,,
0405,井,007,1,9,,,00136,,,,
0406,于,007,1,20,,,00132,,,,
0407,亡,008,1,3,,,00150,,,,
0408,亦,008,1,32,,,00154,,,,
0409,今,009,1,28,,,00175,,,,
0410,作,009,1,26,,,00256,,,,
0411,伊,009,1,7,,,00213,,,,
0412-0414,以,009,1,138,,,00194,,,,
0415,令,009,1,8,,,00193,,,,
0416,代,009,1,10,,,00192,,,,
0417,何,009,1,27,,,00250,,,,
0418,供,009,1,4,,,00299,,,,
0419,企,009,1,5,,,00209,,,,
0420,仍,009,1,4,,,00177,,,,
0421,便,009,1,8,,,00321,,,,
0422,侍,009,1,6,,,00288,,,,
0423,依,009,1,11,,,00301,,,,
0424,但,009,1,3,,,00240,,,,
0425,他,009,1,2,,,00183,,,,
0426,俳,009,1,4,,,00351,,,,
0427,伏,009,1,7,,,00217,,,,
0428,僉,009,1,4,,,00483,,,,
0429,倚,009,1,2,,,00378,,,,
0430,住,009,1,8,,,00245,,,,
0431,候,009,1,2,,,00369,,,,
0432,人,009,1,37,,,00168,,,,
0433,00260,009,1,3,,,00260,,,,
0434,俯,009,1,2,,,00349,,,,
0435,傾,009,1,3,,,00475,,,,
0436,倒,009,1,3,,,00373,,,,
0437,儀,009,1,2,,,00516,,,,
0438,佐,009,1,2,,,00246,,,,
0439,徨,060,1,2,,,03158,,,,
0440,彷,060,1,2,,,03121,,,,
0441,使,009,1,21,,,00279,,,,
0442,仰,009,1,4,,,00199,,,,
0443,優,009,1,3,,,00542,,,,
0444,傍,009,1,2,,,00449,,,,
0445,似,009,1,2,,,00235,,,,
0446,余,009,1,7,,,00253,,,,
0447,休,009,1,2,,,00219,,,,
0448-0449,兄,010,1,52,,,00561,,,,
0450-0451,兒,010,1,64,,,00574,,,,
0452,先,010,1,19,,,00566,,,,
0453,光,010,1,4,,,00567,,,,
0454,内,011,1,12,,,00585,,,,
0455,入,011,1,25,,,00582,,,,
0456,全,011,1,2,,,00589,,,,
0457,兩,011,1,3,,,00591,,,,
0458-0459,其,012,1,100,,,00605,,,,
0460,八,012,1,38,,,00594,,,,
0461,具,012,1,5,,,00606,,,,
0462,共,012,1,6,,,00599,,,,
0463,兼,012,1,4,,,00613,,,,
0464,凡,016,1,6,,,00701,,,,
0465-0466,出,017,1,71,,,00723,,,,
0467,刀,018,1,4,,,00729,,,,
0468,分,018,1,3,,,00734,,,,
0469-0470,則,018,1,71,,,00789,,,,
0471,到,018,1,21,,,00769,,,,
0472,別,018,1,8,,,00763,,,,
0473,前,018,1,13,,,00794,,,,
0474,利,018,1,12,,,00767,,,,
0475,劍,018,1,5,,,00843,,,,
0476,副,018,1,3,,,00818,,,,
0477,制,018,1,2,,,00776,,,,
0478,初,018,1,5,,,00759,,,,
0479,勝,019,1,18,,,00893,,,,
0480,00884,019,1,19,,,00884,,,,
0481,加,019,1,4,,,00858,,,,
0482,勢,019,1,3,,,00898,,,,
0483,勿,020,1,10,,,00919,,,,
0484,化,021,1,4,,,00938,,,,
0485,十,024,1,18,,,00985,,,,
0486,千,024,1,15,,,00987,,,,
0487,卜,025,1,2,,,01019,,,,
0488,占,025,1,2,,,01022,,,,
0489,即,026,1,36,,,01049,,,,
0490,危,026,1,2,,,01035,,,,
0491,原,027,1,18,,,01074,,,,
0492,去,028,1,19,,,01101,,,,
0493,及,029,1,28,,,01111,,,,
0494,反,029,1,2,,,01116,,,,
0495,又,029,1,18,,,01108,,,,
0496,友,029,1,4,,,01112,,,,
0497,取,029,1,14,,,01127,,,,
0498,受,029,1,6,,,01128,,,,
0499,唯,030,1,4,,,01349,,,,
0500,口,030,1,17,,,01141,,,,
0501,喜,030,1,3,,,01412,,,,
0502,向,030,1,11,,,01179,,,,
0503,合,030,1,9,,,01170,,,,
0504,名,030,1,23,,,01175,,,,
0505-0506,命,030,1,76,,,01252,,,,
0507,善,030,1,4,,,01395,,,,
0508,嘗,030,1,3,,,01479,,,,
0509,哀,030,1,3,,,01295,,,,
0510,同,030,1,3,,,01174,,,,
0511,問,030,1,39,,,01369,,,,
0512,吟,030,1,4,,,01188,,,,
0513,君,030,1,11,,,01185,,,,
0514,呼,030,1,3,,,01251,,,,
0515,各,030,1,2,,,01168,,,,
0516,味,030,1,9,,,01242,,,,
0517,哭,030,1,4,,,01323,,,,
0518,可,030,1,28,,,01154,,,,
0519,哉,030,1,6,,,01305,,,,
0520,告,030,1,6,,,01219,,,,
0521,和,030,1,5,,,01263,,,,
0522-0523,吾,030,1,89,,,01217,,,,
0524,唾,030,1,2,,,01359,,,,
0525,嘲,030,1,4,,,01487,,,,
0526,呑,030,1,2,,,01187,,,,
0527,召,030,1,10,,,01150,,,,
0528,嗣,030,1,5,,,01452,,,,
0529,喧,030,1,2,,,01420,,,,
0530,咫,030,1,3,,,01279,,,,
0531,嘯,030,1,3,,,01484,,,,
0532,因,031,1,41,,,01611,,,,
0533-0534,國,031,1,62,,,01639,,,,
0535,固,031,1,2,,,01627,,,,
0536,四,031,1,2,,,01607,,,,
0537,困,031,1,3,,,01623,,,,
0538,地,032,1,15,,,01666,,,,
0539,在,032,1,29,,,01659,,,,
0540,坐,032,1,6,,,01682,,,,
0541,坂,032,1,2,,,01672,,,,
0542,土,032,1,5,,,01654,,,,
0543,報,032,1,15,,,01796,,,,
0544,垂,032,1,2,,,01710,,,,
0545,垢,032,1,2,,,01726,,,,
0546,堅,032,1,3,,,01767,,,,
0547,塗,032,1,2,,,01818,,,,
0548,壯,033,1,3,,,01905,,,,
0549,夜,036,1,15,,,01939,,,,
0550,多,036,1,11,,,01938,,,,
0551-0555,天,037,1,210,,,01947,,,,
0556-0557,大,037,1,52,,,01946,,,,
0558,太,037,1,9,,,01948,,,,
0559,夫,037,1,4,,,01949,,,,
0560,失,037,1,7,,,01957,,,,
0561,奉,037,1,29,,,01974,,,,
0562,奇,037,1,2,,,01972,,,,
0563,奈,037,1,5,,,01973,,,,
0564-0565,女,038,1,53,,,02022,,,,
0566,妻,038,1,10,,,02061,,,,
0567,妾,038,1,20,,,02062,,,,
0568,娶,038,1,10,,,02134,,,,
0569,妃,038,1,6,,,02032,,,,
0570-0571,姫,038,1,69,,,02108,,,,
0572,如,038,1,24,,,02031,,,,
0573,始,038,1,4,,,02069,,,,
0574,妹,038,1,5,,,02059,,,,
0575,娠,038,1,8,,,02122,,,,
0576,委,038,1,2,,,02078,,,,
0577,姉,038,1,2,,,02068,,,,
0578,奴,038,1,3,,,02024,,,,
0579,婢,038,1,2,,,02151,,,,
0580,娜,038,1,3,,,02119,,,,
0581,婦,038,1,2,,,02155,,,,
0582-0583,子,039,1,54,,,02262,,,,
0584-0585,孫,039,1,84,,,02282,,,,
0586,孕,039,1,2,,,02265,,,,
0587,寶,040,1,5,,,02407,,,,
0588,實,040,1,5,,,02390,,,,
0589,完,040,1,3,,,02313,,,,
0590,安,040,1,3,,,02309,,,,
0591,害,040,1,5,,,02346,,,,
0592,宮,040,1,16,,,02342,,,,
0593,室,040,1,8,,,02332,,,,
0594,宜,040,1,16,,,02327,,,,
0595,客,040,1,5,,,02331,,,,
0596,容,040,1,7,,,02352,,,,
0597,定,040,1,7,,,02325,,,,
0598-0600,尊,041,1,115,,,02429,,,,
0601,尋,041,1,12,,,02430,,,,
0602,將,041,1,25,,,02425,,,,
0603,對,041,1,23,,,02435,,,,
0604,射,041,1,7,,,02422,,,,
0605,小,042,1,9,,,02439,,,,
0606,少,042,1,5,,,02440,,,,
0607,就,043,1,8,,,02464,,,,
0608,屋,044,1,20,,,02488,,,,
0609,居,044,1,14,,,02482,,,,
0610,尾,044,1,2,,,02478,,,,
0611,屡,044,1,5,,,02504,,,,
0612,山,046,1,27,,,02528,,,,
0613,崩,046,1,3,,,02640,,,,
0614,峯,046,1,6,,,02589,,,,
0615,崇,046,1,3,,,02607,,,,
0616,岐,046,1,3,,,02540,,,,
0617,川,047,1,5,,,02762,,,,
0618,左,048,1,2,,,02774,,,,
0619,已,049,1,25,,,02783,,,,
0620,己,049,1,13,,,02782,,,,
0621,幡,050,1,16,,,02881,,,,
0622,帥,050,1,2,,,02828,,,,
0623,常,050,1,3,,,02847,,,,
0624,帶,050,1,6,,,02846,,,,
0625,席,050,1,2,,,02839,,,,
0626,幸,051,1,25,,,02903,,,,
0627,年,051,1,6,,,02900,,,,
0628,平,051,1,20,,,02899,,,,
0629,底,053,1,2,,,02932,,,,
0630,廣,053,1,3,,,02993,,,,
0631,座,053,1,3,,,02946,,,,
0632,床,053,1,10,,,02924,,,,
0633,庭,053,1,2,,,02952,,,,
0634,延,054,1,4,,,03005,,,,
0635,弓,057,1,10,,,03042,,,,
0636,引,057,1,2,,,03044,,,,
0637,張,057,1,2,,,03065,,,,
0638,彌,057,1,4,,,03084,,,,
0639,弟,057,1,41,,,03052,,,,
0640,強,057,1,2,,,03066,,,,
0641,弔,057,1,4,,,03043,,,,
0642-0644,彦,059,1,108,,,03106,,,,
0645,影,059,1,2,,,03116,,,,
0646,往,060,1,14,,,03128,,,,
0647,徑,060,1,4,,,03142,,,,
0648,待,060,1,6,,,03132,,,,
0649,得,060,1,18,,,03145,,,,
0650,從,060,1,17,,,03151,,,,
0651,復,060,1,32,,,03159,,,,
0652,徳,060,1,2,,,03172,,,,
0653,彼,060,1,14,,,03124,,,,
0654,後,060,1,21,,,03138,,,,
0655,慍,061,1,2,,,03410,,,,
0656,惱,061,1,3,,,03372,,,,
0657,心,061,1,10,,,03179,,,,
0658,必,061,1,15,,,03180,,,,
0659,悲,061,1,2,,,03335,,,,
0660,忍,061,1,12,,,03184,,,,
0661,忽,061,1,6,,,03219,,,,
0662,息,061,1,6,,,03298,,,,
0663,慙,061,1,4,,,03453,,,,
0664,急,061,1,5,,,03243,,,,
0665,患,061,1,3,,,03329,,,,
0666,愁,061,1,4,,,03387,,,,
0667,意,061,1,6,,,03395,,,,
0668,忌,061,1,2,,,03183,,,,
0669,懃,061,1,2,,,03544,,,,
0670,情,061,1,4,,,03348,,,,
0671,恨,061,1,9,,,03291,,,,
0672,志,061,1,4,,,03194,,,,
0673,思,061,1,6,,,03239,,,,
0674,忿,061,1,5,,,03220,,,,
0675,悔,061,1,2,,,03320,,,,
0676,憶,061,1,3,,,03534,,,,
0677,憂,061,1,8,,,03486,,,,
0678,愛,061,1,3,,,03405,,,,
0679,怒,061,1,4,,,03229,,,,
0680,應,061,1,2,,,03550,,,,
0681,慮,061,1,2,,,03466,,,,
0682,惟,061,1,2,,,03365,,,,
0683,怪,061,1,2,,,03248,,,,
0684,惡,061,1,6,,,03367,,,,
0685,懷,061,1,3,,,03585,,,,
0686,怜,061,1,4,,,03238,,,,
0687,憐,061,1,4,,,03499,,,,
0688,慇,061,1,2,,,03438,,,,
0689,我,062,1,31,,,03611,,,,
0690,成,062,1,3,,,03610,,,,
0691,或,062,1,3,,,03617,,,,
0692,戸,063,1,6,,,03640,,,,
0693,所,063,1,46,,,03647,,,,
0694,持,064,1,13,,,03780,,,,
0695,手,064,1,15,,,03659,,,,
0696,播,064,1,10,,,04069,,,,
0697,排,064,1,6,,,03862,,,,
0698,握,064,1,2,,,03911,,,,
0699,撥,064,1,3,,,04062,,,,
0700,披,064,1,2,,,03715,,,,
0701,招,064,1,2,,,03758,,,,
0702,投,064,1,5,,,03708,,,,
0703,授,064,1,10,,,03855,,,,
0704,掌,064,1,3,,,03858,,,,
0705,損,064,1,2,,,03939,,,,
0706,折,064,1,10,,,03711,,,,
0707,抱,064,1,2,,,03720,,,,
0708,抑,064,1,3,,,03704,,,,
0709,03751,064,1,6,,,03751,,,,
0710,據,064,1,4,,,04106,,,,
0711,探,064,1,5,,,03874,,,,
0712,攀,064,1,2,,,04146,,,,
0713,拔,064,1,3,,,03750,,,,
0714,教,066,1,12,,,04261,,,,
0715,數,066,1,4,,,04298,,,,
0716,救,066,1,4,,,04263,,,,
0717,敢,066,1,3,,,04277,,,,
0718,放,066,1,5,,,04233,,,,
0719-0720,故,066,1,83,,,04243,,,,
0721,斫,069,1,2,,,04368,,,,
0722,新,069,1,4,,,04376,,,,
