統合ID,文字,カード番号,字体数,例数,部首,,,,,,
02598,峻,0101,0,1,046,,,,,,
02594,島,0102,0,1,046,,,,,,
02764,州,0103,0,1,047,,,,,,
02767,巡,0104,0,1,047,,,,,,
02806,希,0105,0,1,050,,,,,,
02818,帚,0106,0,1,050,,,,,,
02799,市,0107,0,1,050,,,,,,
02801,帆,0108,0,1,050,,,,,,
02902,并,0109,0,1,051,,,,,,
02915,幾,0110,0,1,052,,,,,,
02912,幽,0111,0,1,052,,,,,,
02992,廢,0112,0,1,053,,,,,,
03064,弱,0113,0,1,057,,,,,,
03060,弭,0114,0,1,057,,,,,,
03101,形,0115,0,1,059,,,,,,
03143,徒,0116,0,1,060,,,,,,
03292,恩,0117,0,1,061,,,,,,
03289,恥,0118,0,1,061,,,,,,
03203,忠,0119,0,1,061,,,,,,
03277,恙,0120,0,1,061,,,,,,
03235,怙,0121,0,1,061,,,,,,
03312,悉,0122,0,1,061,,,,,,
03196,忘,0123,0,1,061,,,,,,
03345,悽,0124,0,1,061,,,,,,
03267,恆,0125,0,1,061,,,,,,
03469,慰,0126,0,1,061,,,,,,
03299,恰,0127,0,1,061,,,,,,
03402,愍,0128,0,1,061,,,,,,
03355,惑,0129,0,1,061,,,,,,
03455,慟,0130,0,1,061,,,,,,
03475,慷,0131,0,1,061,,,,,,
03511,憚,0132,0,1,061,,,,,,
03463,慨,0133,0,1,061,,,,,,
03633,戰,0134,0,1,062,,,,,,
03632,戮,0135,0,1,062,,,,,,
03628,截,0136,0,1,062,,,,,,
03645,戻,0137,0,1,063,,,,,,
03686,扶,0138,0,1,064,,,,,,
03666,打,0139,0,1,064,,,,,,
03880,推,0140,0,1,064,,,,,,
03835,捨,0141,0,1,064,,,,,,
03761,拜,0142,0,1,064,,,,,,
03765,拭,0143,0,1,064,,,,,,
03907,換,0144,0,1,064,,,,,,
03837,捫,0145,0,1,064,,,,,,
03818,捉,0146,0,1,064,,,,,,
04311,斃,0147,0,1,066,,,,,,
04228,改,0148,0,1,066,,,,,,
04286,敬,0149,0,1,066,,,,,,
04303,整,0150,0,1,066,,,,,,
04363,斥,0151,0,1,069,,,,,,
04369,斬,0152,0,1,069,,,,,,
04391,施,0153,0,1,070,,,,,,
04518,昵,0154,0,1,072,,,,,,
04608,暴,0155,0,1,072,,,,,,
04499,星,0156,0,1,072,,,,,,
04542,晝,0157,0,1,072,,,,,,
04679,服,0158,0,1,074,,,,,,
05150,楫,0159,0,1,075,,,,,,
05529,權,0160,0,1,075,,,,,,
14917,14917,0161,0,1,075,,,,,,
04978,梔,0162,0,1,075,,,,,,
