統合ID,文字,カード番号,字体数,用例数,部首
07520,畢,0085,0,1,102
07649,瘡,0086,0,1,104
07799,直,0087,0,1,109
07827,眞,0088,0,1,109
08097,示,0089,0,1,113
08396,笑,0090,0,1,118
08493,節,0091,0,1,118
08747,納,0092,0,1,120
08773,紫,0093,0,1,120
08856,經,0094,0,1,120
08885,網,0095,0,1,120
08963,縛,0096,0,1,120
08987,縷,0097,0,1,120
09011,09011,0098,0,1,120
09128,置,0099,0,1,122
09192,羸,0100,0,1,123
09204,翅,0101,0,1,124
09214,習,0102,0,1,124
09257,耆,0103,0,1,125
09308,聖,0104,0,1,128
09395,胎,0105,0,1,130
09411,胡,0106,0,1,130
09447,脚,0107,0,1,130
09463,脱,0108,0,1,130
09491,腕,0109,0,1,130
09541,膝,0110,0,1,130
09596,臣,0111,0,1,131
09630,興,0112,0,1,134
09665,般,0113,0,1,137
09716,色,0114,0,1,139
09765,芻,0115,0,1,140
09818,茘,0116,0,1,140
09833,茶,0117,0,1,140
09874,莖,0118,0,1,140
09886,莫,0119,0,1,140
09906,菖,0120,0,1,140
09961,落,0121,0,1,140
09966,葉,0122,0,1,140
10026,蒲,0123,0,1,140
10050,蓮,0124,0,1,140
10061,10061,0125,0,1,140
10149,薑,0126,0,1,140
10155,薜,0127,0,1,140
10191,藏,0128,0,1,140
M09813,M09813,0129,0,1,140
10272,虚,0130,0,1,141
10558,蟻,0131,0,1,142
10834,覓,0132,0,1,147
10859,觀,0133,0,1,147
10936,訶,0134,0,1,149
11023,誦,0135,0,1,149
11095,謂,0136,0,1,149
11328,貝,0137,0,1,154
11342,貪,0138,0,1,154
11411,頼,0139,0,1,154
11454,走,0140,0,1,156
11763,軟,0141,0,1,159
11960,迦,0142,0,1,162
11982,退,0143,0,1,162
11986,逆,0144,0,1,162
12022,進,0145,0,1,162
12070,遠,0146,0,1,162
12074,遣,0147,0,1,162
12092,遶,0148,0,1,162
12115,邊,0149,0,1,162
12287,酥,0150,0,1,164
12345,醯,0151,0,1,164
12373,重,0152,0,1,166
12714,閉,0153,0,1,169
12757,閻,0154,0,1,169
12834,附,0155,0,1,170
12898,隔,0156,0,1,170
12913,際,0157,0,1,170
12991,雖,0158,0,1,172
13001,離,0159,0,1,172
13095,青,0160,0,1,174
13325,頗,0161,0,1,181
13839,驅,0162,0,1,187
13864,驢,0163,0,1,187
13940,高,0164,0,1,189
13959,髮,0165,0,1,190
14335,14335,0166,0,1,195
14366,鳩,0167,0,1,196
14612,鹵,0168,0,1,197
14659,14659,0169,0,1,198
14709,黒,0170,0,1,203
14829,齋,0171,0,1,210
14876,龍,0172,0,1,212
00001,一,0173,1,34,001
00004,七,0174,1,9,001
00007,三,0175,1,31,001
00008,上,0176,1,115,001
00009,下,0179,1,4,001
00013,不,0180,1,196,001
00025,世,0184,1,14,001
00026,丘,0185,1,177,001
00051,中,0189,1,49,002
00070,主,0190,1,11,003
00078,乃,0191,1,7,004
00085,久,0192,1,2,004
00113,乳,0193,1,5,005
00128,事,0194,1,51,006
00129,二,0196,1,54,007
00133,云,0198,1,18,007
00135,五,0199,1,30,007
00154,亦,0200,1,7,008
00168,人,0201,1,23,009
00175,今,0202,1,31,009
00183,他,0203,1,11,009
00193,令,0204,1,6,009
00194,以,0205,1,34,009
00230,伴,0206,1,6,009
00236,伽,0207,1,6,009
00245,住,0208,1,2,009
00250,何,0209,1,36,009
00255,佛,0210,1,63,009
00256,作,0212,1,108,009
00279,使,0215,1,6,009
00282,來,0216,1,8,009
00301,依,0217,1,11,009
00321,便,0218,1,19,009
00394,00394,0219,1,2,009
00411,偏,0220,1,2,009
00432,偸,0221,1,9,009
00503,僧,0222,1,105,009
00529,00529,0225,1,3,009
00565,兇,0226,1,2,010
00566,先,0227,1,3,010
00582,入,0228,1,9,011
00591,兩,0229,1,4,011
00594,八,0230,1,5,012
00597,六,0231,1,18,012
00599,共,0232,1,4,012
00602,兵,0233,1,2,012
00606,具,0234,1,50,012
00723,出,0235,1,21,017
00734,分,0236,1,6,018
00759,初,0237,1,5,018
00763,別,0238,1,2,018
00767,利,0239,1,8,018
00769,到,0240,1,8,018
00820,割,0241,1,9,018
00863,助,0242,1,10,019
00885,勒,0243,1,3,019
00900,勤,0244,1,4,019
00985,十,0245,1,12,024
00994,半,0246,1,7,024
01049,即,0247,1,8,026
01101,去,0248,1,7,028
01108,又,0249,1,2,029
01109,叉,0250,1,15,029
01128,受,0251,1,83,029
01154,可,0253,1,4,030
01170,合,0254,1,8,030
01172,吉,0255,1,2,030
01175,名,0256,1,67,030
01177,吏,0258,1,2,030
01179,向,0259,1,15,030
01197,含,0260,1,6,030
01245,呵,0261,1,41,030
01252,命,0262,1,4,030
01263,和,0263,1,119,030
01350,唱,0266,1,5,030
01369,問,0267,1,36,030
01395,善,0268,1,18,030
01412,喜,0269,1,12,030
01607,四,0270,1,7,031
01611,因,0271,1,41,031
01639,國,0272,1,7,031
01659,在,0273,1,15,032
01853,増,0274,1,3,032
01863,墮,0275,1,6,032
01895,壞,0276,1,2,032
01903,士,0277,1,14,033
01938,多,0278,1,13,036
01939,夜,0279,1,8,036
01946,大,0280,1,32,037
01947,天,0281,1,2,037
01949,夫,0282,1,11,037
01957,失,0283,1,11,037
02013,奪,0284,1,8,037
02022,女,0285,1,25,038
02029,好,0286,1,9,038
02031,如,0287,1,38,038
02033,妄,0288,1,4,038
02151,婢,0289,1,3,038
02155,婦,0290,1,23,038
02196,嫁,0291,1,2,038
02262,子,0292,1,11,039
02267,字,0293,1,6,039
02293,學,0294,1,20,039
02309,安,0295,1,5,040
02323,官,0296,1,3,040
02325,定,0297,1,4,040
02331,客,0298,1,4,040
02349,家,0299,1,24,040
02355,宿,0300,1,4,040
02390,實,0301,1,35,040
02407,寶,0302,1,5,040
02425,將,0303,1,5,041
02429,尊,0304,1,24,041
02439,小,0305,1,3,042
02440,少,0306,1,9,042
02446,尚,0307,1,4,042
02464,就,0308,1,2,043
02482,居,0309,1,14,044
02515,屬,0310,1,33,044
02780,差,0311,1,4,048
02783,已,0312,1,43,049
02835,師,0313,1,14,050
02847,常,0314,1,4,050
02897,干,0315,1,3,051
02932,底,0316,1,3,053
02993,廣,0317,1,23,053
03037,式,0318,1,14,056
03052,弟,0319,1,6,057
03101,形,0320,1,20,059
03124,彼,0321,1,8,060
03128,往,0322,1,4,060
03138,後,0323,1,6,060
03145,得,0324,1,34,060
03151,從,0325,1,50,060
03159,復,0326,1,3,060
03172,徳,0327,1,14,060
03179,心,0328,1,17,061
03183,忌,0329,1,2,061
03184,忍,0330,1,17,061
03214,念,0331,1,5,061
03233,怖,0332,1,2,061
03267,恆,0333,1,2,061
03298,息,0334,1,2,061
03320,悔,0335,1,8,061
03367,惡,0336,1,8,061
03373,想,0337,1,8,061
03402,愍,0338,1,9,061
03405,愛,0339,1,2,061
03462,慧,0340,1,2,061
03499,憐,0341,1,9,061
03550,應,0342,1,53,061
03610,成,0344,1,2,062
03611,我,0345,1,106,062
03612,戒,0348,1,77,062
03628,截,0350,1,10,062
03640,戸,0351,1,10,063
03646,房,0352,1,6,063
03647,所,0353,1,18,063
03659,手,0354,1,5,064
03666,打,0355,1,2,064
03780,持,0356,1,39,064
03818,捉,0357,1,4,064
03835,捨,0358,1,5,064
03851,掃,0359,1,2,064
03880,推,0360,1,3,064
03896,提,0361,1,35,064
03993,摘,0362,1,3,064
04009,摩,0363,1,17,064
04243,故,0364,1,50,066
04261,教,0365,1,41,066
04280,散,0366,1,3,066
04298,數,0367,1,10,066
04373,斯,0368,1,3,069
04381,斷,0369,1,4,069
04389,於,0370,1,4,070
04391,施,0371,1,9,070
04446,日,0372,1,16,072
04489,易,0373,1,6,072
04506,昨,0374,1,2,072
04512,是,0375,1,211,072
04523,時,0380,1,45,072
04654,更,0381,1,5,073
04667,會,0382,1,5,073
04673,月,0383,1,5,074
04674,有,0384,1,39,074
04679,服,0385,1,5,074
04711,未,0386,1,9,075
04713,本,0387,1,5,075
04806,果,0388,1,6,075
04813,枯,0389,1,2,075
04845,某,0390,1,158,075
04922,根,0394,1,13,075
04993,梨,0395,1,10,075
05014,棄,0396,1,2,075
05152,業,0397,1,2,075
05161,極,0398,1,3,075
05279,樂,0399,1,2,075
05323,樹,0400,1,2,075
05558,次,0401,1,9,076
05580,欲,0402,1,59,076
05612,歎,0404,1,8,076
05641,止,0405,1,2,077
05644,此,0406,1,18,077
05666,歳,0407,1,28,077
05686,死,0408,1,8,078
05737,殘,0409,1,2,078
05796,殺,0410,1,7,079
05834,母,0411,1,6,080
05841,比,0412,1,177,081
05845,毘,0416,1,4,081
05850,毛,0417,1,2,082
05952,水,0418,1,3,085
05964,求,0419,1,3,085
05983,汝,0420,1,94,085
06031,沙,0422,1,18,085
06045,河,0423,1,2,085
06052,油,0424,1,2,085
06058,況,0425,1,2,085
06074,法,0426,1,66,085
06086,波,0428,1,35,085
06120,洗,0429,1,4,085
06144,06144,0430,1,3,085
06179,浴,0431,1,8,085
06192,消,0432,1,2,085
06272,淨,0433,1,14,085
06290,清,0434,1,12,085
06381,湯,0435,1,6,085
06432,滅,0436,1,13,085
06476,滿,0437,1,5,085
06487,漏,0438,1,4,085
06499,漢,0439,1,3,085
06517,漸,0440,1,2,085
06641,濟,0441,1,3,085
06885,然,0442,1,13,086
06895,煮,0443,1,8,086
06957,熱,0444,1,8,086
06978,燒,0445,1,8,086
07032,爲,0446,1,23,087
07035,父,0447,1,5,088
07043,爾,0448,1,13,089
07080,物,0449,1,2,093
07112,犯,0450,1,15,094
07125,狂,0451,1,2,094
07230,獨,0452,1,2,094
07262,王,0453,1,9,096
07461,生,0454,1,8,100
07464,産,0455,1,2,100
07469,用,0456,1,9,101
07480,甲,0457,1,158,102
07483,男,0461,1,3,102
07513,畜,0462,1,29,102
07530,異,0463,1,3,102
07535,當,0464,1,59,102
07585,疽,0466,1,2,104
07598,病,0467,1,16,104
07685,癡,0468,1,3,104
07690,癩,0469,1,2,104
07696,癰,0470,1,2,104
07709,白,0471,1,10,106
07717,皆,0472,1,5,106
07758,盈,0473,1,6,108
07779,盡,0474,1,20,108
07801,相,0475,1,4,109
07844,衆,0476,1,18,109
07878,瞋,0477,1,3,109
07941,知,0478,1,40,111
07948,短,0479,1,6,111
07954,石,0480,1,2,112
07986,破,0481,1,4,112
08051,磔,0482,1,2,112
08057,磨,0483,1,43,112
08077,礙,0484,1,9,112
08162,禪,0485,1,5,113
08165,禮,0486,1,5,113
08244,種,0487,1,83,115
08296,空,0489,1,2,116
08354,立,0490,1,3,117
08365,竟,0491,1,15,117
08375,竭,0492,1,2,117
08412,第,0493,1,35,118
08426,等,0494,1,15,118
08437,答,0495,1,29,118
08685,精,0496,1,2,119
08711,糞,0497,1,2,119
08807,結,0498,1,8,120
08984,縵,0499,1,4,120
09125,罪,0500,1,3,122
09144,羅,0501,1,31,122
09182,羯,0502,1,43,123
09250,老,0503,1,3,125
09255,者,0504,1,79,125
09264,而,0506,1,10,126
09292,耶,0507,1,8,128
09314,聚,0508,1,2,128
09315,聞,0509,1,10,128
09357,肘,0510,1,10,130
09370,肩,0511,1,6,130
09429,能,0512,1,49,130
09433,脂,0513,1,5,130
09486,腐,0514,1,2,130
09516,腹,0515,1,3,130
09544,膠,0516,1,6,130
09602,自,0517,1,20,132
09610,至,0518,1,20,133
09632,擧,0519,1,2,134
09638,舍,0520,1,18,135
09788,若,0521,1,122,140
09921,華,0524,1,3,140
09972,著,0525,1,6,140
10163,薩,0526,1,2,140
10204,藥,0527,1,29,140
10251,蘭,0528,1,4,140
10270,處,0529,1,12,141
10414,蜜,0530,1,2,142
10614,行,0531,1,26,144
10630,衞,0532,1,9,144
10637,衣,0533,1,96,145
10826,覆,0535,1,16,146
10831,見,0536,1,10,147
10890,言,0537,1,99,149
11017,語,0539,1,36,149
11025,説,0540,1,48,149
11028,誰,0541,1,17,149
11038,調,0542,1,9,149
11049,請,0543,1,2,149
11074,諫,0544,1,3,149
11085,諸,0545,1,41,149
11171,識,0546,1,6,149
11229,讚,0547,1,6,149
11332,負,0548,1,2,154
11344,責,0549,1,25,154
11356,買,0550,1,2,154
11377,賊,0551,1,2,154
11445,赤,0552,1,4,155
11471,越,0553,1,8,156
11495,足,0554,1,50,157
11515,跋,0555,1,5,157
11715,身,0556,1,3,158
11827,輪,0557,1,2,159
11856,轉,0558,1,2,159
12027,逸,0559,1,34,162
12042,遊,0560,1,4,162
12046,過,0561,1,17,162
12051,道,0562,1,16,162
12052,達,0563,1,8,162
12062,遙,0564,1,2,162
12083,遮,0565,1,5,162
12108,還,0566,1,3,162
12134,那,0567,1,6,163
12176,部,0568,1,9,163
12371,釋,0569,1,11,165
12376,量,0570,1,11,166
12440,鉢,0571,1,27,167
12441,鉤,0572,1,10,167
12518,錢,0573,1,2,167
12698,長,0574,1,36,168
12709,門,0575,1,17,169
12716,開,0576,1,2,169
12721,閏,0577,1,2,169
12774,闍,0578,1,5,169
12830,阿,0579,1,28,170
12831,陀,0580,1,32,170
12855,除,0581,1,3,170
12914,障,0582,1,17,170
12927,隨,0583,1,34,170
12963,集,0584,1,9,172
13002,難,0585,1,16,172
13073,露,0586,1,3,173
13104,非,0587,1,67,175
13108,面,0589,1,5,176
13176,13176,0590,1,2,177
13302,順,0591,1,9,181
13304,須,0592,1,4,181
13346,頭,0593,1,14,181
13391,願,0594,1,9,181
13395,顛,0595,1,2,181
13503,食,0596,1,18,184
13565,餘,0597,1,4,184
14033,14033,0598,1,2,191
14039,鬱,0599,1,4,192
14620,鹽,0600,1,6,197
14681,麻,0601,1,3,200
14720,默,0602,1,13,203
14730,黨,0603,1,4,203
00108,乞,0604a,2,41,005
00108b,乞,0604b,2,1,005
01079,厥,0605a,2,3,027
01079b,厥,0605b,2,3,027
01740,城,0606a,2,5,032
01740b,城,0606b,2,1,032
02473,尼,0607a,2,305,044
02473b,尼,0607b,2,2,044
02846,帶,0614a,2,1,050
02846b,帶,0614b,2,1,050
02944,度,0615a,2,26,053
02944b,度,0615b,2,2,053
04984,條,0616a,2,9,075
04984b,條,0616b,2,1,075
08924,縁,0617a,2,37,120
08924b,縁,0617b,2,1,120
08976,縫,0618a,2,4,120
08976b,縫,0618b,2,2,120
09335,聽,0619a,2,36,128
09335b,聽,0619b,2,3,128
09462,脩,0620a,2,9,130
09462b,脩,0620b,2,1,130
10856,覺,0621a,2,2,147
10856b,覺,0621b,2,1,147
11018,誠,0622a,2,2,149
11018b,誠,0622b,2,1,149
06872,無,0623a,3,21,086
06872b,無,0623b,3,1,086
06872c,無,0623c,3,3,086
09629,與,0624a,3,37,134
09629b,與,0624b,3,1,134
09629c,與,0624c,3,1,134
