統合ID,文字,カード番号,字体数,用例数,部首,枚数
10149,薑,0126,0 ,1 ,140,1 
10155,薜,0127,0 ,1 ,140,1 
10191,藏,0128,0 ,1 ,140,1 
M09813,M09813,0129,0 ,1 ,140,1 
10272,虚,0130,0 ,1 ,141,1 
10558,蟻,0131,0 ,1 ,142,1 
10834,覓,0132,0 ,1 ,147,1 
10859,觀,0133,0 ,1 ,147,1 
10936,訶,0134,0 ,1 ,149,1 
11023,誦,0135,0 ,1 ,149,1 
11095,謂,0136,0 ,1 ,149,1 
11328,貝,0137,0 ,1 ,154,1 
11342,貪,0138,0 ,1 ,154,1 
11411,頼,0139,0 ,1 ,154,1 
11454,走,0140,0 ,1 ,156,1 
11763,軟,0141,0 ,1 ,159,1 
11960,迦,0142,0 ,1 ,162,1 
11982,退,0143,0 ,1 ,162,1 
11986,逆,0144,0 ,1 ,162,1 
12022,進,0145,0 ,1 ,162,1 
12070,遠,0146,0 ,1 ,162,1 
12074,遣,0147,0 ,1 ,162,1 
12092,遶,0148,0 ,1 ,162,1 
12115,邊,0149,0 ,1 ,162,1 
12287,酥,0150,0 ,1 ,164,1 
12345,醯,0151,0 ,1 ,164,1 
12373,重,0152,0 ,1 ,166,1 
12714,閉,0153,0 ,1 ,169,1 
12757,閻,0154,0 ,1 ,169,1 
12834,附,0155,0 ,1 ,170,1 
12898,隔,0156,0 ,1 ,170,1 
12913,際,0157,0 ,1 ,170,1 
12991,雖,0158,0 ,1 ,172,1 
13001,離,0159,0 ,1 ,172,1 
13095,青,0160,0 ,1 ,174,1 
13325,頗,0161,0 ,1 ,181,1 
13839,驅,0162,0 ,1 ,187,1 
13864,驢,0163,0 ,1 ,187,1 
13940,高,0164,0 ,1 ,189,1 
13959,髮,0165,0 ,1 ,190,1 
14335,14335,0166,0 ,1 ,195,1 
14366,鳩,0167,0 ,1 ,196,1 
14612,鹵,0168,0 ,1 ,197,1 
14659,14659,0169,0 ,1 ,198,1 
14709,黒,0170,0 ,1 ,203,1 
14829,齋,0171,0 ,1 ,210,1 
14876,龍,0172,0 ,1 ,212,1 
00001,一,0173,1 ,34 ,001,1 
00004,七,0174,1 ,9 ,001,1 
00007,三,0175,1 ,31 ,001,1 
00008,上,0176,1 ,115 ,001,3 
00009,下,0179,1 ,4 ,001,1 
00013,不,0180,1 ,196 ,001,4 
00025,世,0184,1 ,14 ,001,1 
00026,丘,0185,1 ,177 ,001,4 
00051,中,0189,1 ,49 ,002,1 
00070,主,0190,1 ,11 ,003,1 
00078,乃,0191,1 ,7 ,004,1 
00085,久,0192,1 ,2 ,004,1 
00113,乳,0193,1 ,5 ,005,1 
00128,事,0194,1 ,51 ,006,2 
00129,二,0196,1 ,54 ,007,2 
00133,云,0198,1 ,18 ,007,1 
00135,五,0199,1 ,30 ,007,1 
00154,亦,0200,1 ,7 ,008,1 
00168,人,0201,1 ,23 ,009,1 
00175,今,0202,1 ,31 ,009,1 
00183,他,0203,1 ,11 ,009,1 
00193,令,0204,1 ,6 ,009,1 
00194,以,0205,1 ,34 ,009,1 
00230,伴,0206,1 ,6 ,009,1 
00236,伽,0207,1 ,6 ,009,1 
00245,住,0208,1 ,2 ,009,1 
00250,何,0209,1 ,36 ,009,1 
00255,佛,0210,1 ,63 ,009,2 
00256,作,0212,1 ,108 ,009,3 
00279,使,0215,1 ,6 ,009,1 
00282,來,0216,1 ,8 ,009,1 
00301,依,0217,1 ,11 ,009,1 
00321,便,0218,1 ,19 ,009,1 
00394,00394,0219,1 ,2 ,009,1 
00411,偏,0220,1 ,2 ,009,1 
00432,偸,0221,1 ,9 ,009,1 
00503,僧,0222,1 ,105 ,009,3 
00529,00529,0225,1 ,3 ,009,1 
00565,兇,0226,1 ,2 ,010,1 
00566,先,0227,1 ,3 ,010,1 
00582,入,0228,1 ,9 ,011,1 
00591,兩,0229,1 ,4 ,011,1 
00594,八,0230,1 ,5 ,012,1 
00597,六,0231,1 ,18 ,012,1 
00599,共,0232,1 ,4 ,012,1 
00602,兵,0233,1 ,2 ,012,1 
00606,具,0234,1 ,50 ,012,1 
00723,出,0235,1 ,21 ,017,1 
00734,分,0236,1 ,6 ,018,1 
00759,初,0237,1 ,5 ,018,1 
00763,別,0238,1 ,2 ,018,1 
00767,利,0239,1 ,8 ,018,1 
00769,到,0240,1 ,8 ,018,1 
00820,割,0241,1 ,9 ,018,1 
00863,助,0242,1 ,10 ,019,1 
00885,勒,0243,1 ,3 ,019,1 
00900,勤,0244,1 ,4 ,019,1 
00985,十,0245,1 ,12 ,024,1 
00994,半,0246,1 ,7 ,024,1 
01049,即,0247,1 ,8 ,026,1 
01101,去,0248,1 ,7 ,028,1 
01108,又,0249,1 ,2 ,029,1 
01109,叉,0250,1 ,15 ,029,1 
01128,受,0251,1 ,83 ,029,2 
01154,可,0253,1 ,4 ,030,1 
01170,合,0254,1 ,8 ,030,1 
01172,吉,0255,1 ,2 ,030,1 
01175,名,0256,1 ,67 ,030,2 
01177,吏,0258,1 ,2 ,030,1 
01179,向,0259,1 ,15 ,030,1 
01197,含,0260,1 ,6 ,030,1 
01245,呵,0261,1 ,41 ,030,1 
01252,命,0262,1 ,4 ,030,1 
01263,和,0263,1 ,119 ,030,3 
01350,唱,0266,1 ,5 ,030,1 
01369,問,0267,1 ,36 ,030,1 
01395,善,0268,1 ,18 ,030,1 
01412,喜,0269,1 ,12 ,030,1 
01607,四,0270,1 ,7 ,031,1 
01611,因,0271,1 ,41 ,031,1 
01639,國,0272,1 ,7 ,031,1 
01659,在,0273,1 ,15 ,032,1 
01853,増,0274,1 ,3 ,032,1 
01863,墮,0275,1 ,6 ,032,1 
01895,壞,0276,1 ,2 ,032,1 
01903,士,0277,1 ,14 ,033,1 
01938,多,0278,1 ,13 ,036,1 
01939,夜,0279,1 ,8 ,036,1 
01946,大,0280,1 ,32 ,037,1 
01947,天,0281,1 ,2 ,037,1 
01949,夫,0282,1 ,11 ,037,1 
01957,失,0283,1 ,11 ,037,1 
02013,奪,0284,1 ,8 ,037,1 
02022,女,0285,1 ,25 ,038,1 
02029,好,0286,1 ,9 ,038,1 
02031,如,0287,1 ,38 ,038,1 
02033,妄,0288,1 ,4 ,038,1 
02151,婢,0289,1 ,3 ,038,1 
02155,婦,0290,1 ,23 ,038,1 
02196,嫁,0291,1 ,2 ,038,1 
02262,子,0292,1 ,11 ,039,1 
02267,字,0293,1 ,6 ,039,1 
02293,學,0294,1 ,20 ,039,1 
02309,安,0295,1 ,5 ,040,1 
02323,官,0296,1 ,3 ,040,1 
02325,定,0297,1 ,4 ,040,1 
02331,客,0298,1 ,4 ,040,1 
02349,家,0299,1 ,24 ,040,1 
02355,宿,0300,1 ,4 ,040,1 
02390,實,0301,1 ,35 ,040,1 
02407,寶,0302,1 ,5 ,040,1 
02425,將,0303,1 ,5 ,041,1 
02429,尊,0304,1 ,24 ,041,1 
02439,小,0305,1 ,3 ,042,1 
02440,少,0306,1 ,9 ,042,1 
02446,尚,0307,1 ,4 ,042,1 
02464,就,0308,1 ,2 ,043,1 
02482,居,0309,1 ,14 ,044,1 
02515,屬,0310,1 ,33 ,044,1 
02780,差,0311,1 ,4 ,048,1 
02783,已,0312,1 ,43 ,049,1 
02835,師,0313,1 ,14 ,050,1 
02847,常,0314,1 ,4 ,050,1 
02897,干,0315,1 ,3 ,051,1 
02932,底,0316,1 ,3 ,053,1 
02993,廣,0317,1 ,23 ,053,1 
03037,式,0318,1 ,14 ,056,1 
03052,弟,0319,1 ,6 ,057,1 
03101,形,0320,1 ,20 ,059,1 
03124,彼,0321,1 ,8 ,060,1 
03128,往,0322,1 ,4 ,060,1 
03138,後,0323,1 ,6 ,060,1 
03145,得,0324,1 ,34 ,060,1 
03151,從,0325,1 ,50 ,060,1 
03159,復,0326,1 ,3 ,060,1 
03172,徳,0327,1 ,14 ,060,1 
03179,心,0328,1 ,17 ,061,1 
03183,忌,0329,1 ,2 ,061,1 
03184,忍,0330,1 ,17 ,061,1 
03214,念,0331,1 ,5 ,061,1 
03233,怖,0332,1 ,2 ,061,1 
03267,恆,0333,1 ,2 ,061,1 
03298,息,0334,1 ,2 ,061,1 
03320,悔,0335,1 ,8 ,061,1 
03367,惡,0336,1 ,8 ,061,1 
03373,想,0337,1 ,8 ,061,1 
