カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号,,
0489,外,4,,1,01934,036,,
0490,多,32,,1,01938,036,,
0491,夜,3,,1,01939,036,,
0492,夢,3,,1,01943,036,,
0493,大,49,,1,01946,037,,
0494,天,12,,1,01947,037,,
0495,太,2,,1,01948,037,,
0496,失,4,,1,01957,037,,
0497,奈,4,,1,01973,037,,
0498,女,2,,1,02022,038,,
0499,奴,3,,1,02024,038,,
0500,好,5,,1,02029,038,,
0501-0503,如,130,,1,02031,038,,
0504,妄,3,,1,02033,038,,
0505,妙,6,,1,02045,038,,
0506,始,2,,1,02069,038,,
0507,02089,3,,1,02089,038,,
0508,威,3,,1,02105,038,,
0509,婆,3,,1,02142,038,,
0510,婢,3,,1,02151,038,,
0511,嫉,2,,1,02201,038,,
0512,嫌,2,,1,02203,038,,
0513-0514,子,88,,1,02262,039,,
0515,孤,7,,1,02277,039,,
0516,安,3,,1,02309,040,,
0517,定,7,,1,02325,040,,
0518,宜,2,,1,02327,040,,
0519,客,3,,1,02331,040,,
0520,家,12,,1,02349,040,,
0521,寂,3,,1,02357,040,,
0522,密,4,,1,02361,040,,
0523,富,2,,1,02366,040,,
0524,實,15,,1,02390,040,,
0525,寧,2,,1,02392,040,,
0526,官,6,,1,02323,040,,
0527,寶,14,,1,02407,040,,
0528,寺,12,,1,02415,041,,
0529,礙,2,1,2,08077,112,,
0530,射,2,,1,02422,041,,
0531,將,3,,1,02425,041,,
0532,專,4,,1,02426,041,,
0533,尊,23,,1,02429,041,,
0534,對,3,,1,02435,041,,
0535,小,2,,1,02439,042,,
0536,少,17,,1,02440,042,,
0537,尚,2,,1,02446,042,,
0538,就,2,,1,02464,043,,
0539,居,2,,1,02482,044,,
0540,屬,4,,1,02515,044,,
0541,山,4,,1,02528,046,,
0542,岸,6,,1,02564,046,,
0543,巧,7,,1,02775,048,,
0544,己,12,,1,02782,049,,
0545,已,19,,1,02783,049,,
0546,布,29,,1,02800,050,,
0547,希,3,,1,02806,050,,
0548,師,7,5,2,02835,050,,
0549,常,32,,1,02847,050,,
0550,平,4,,1,02899,051,,
0551,年,4,,1,02900,051,,
0552,并,2,,1,02902,051,,
0553,床,2,,1,02924,053,,
0554,度,8,,1,02944,053,,
0555,座,3,,1,02946,053,,
0556,廟,3,,1,02989,053,,
0557,廣,5,,1,02993,053,,
0558,弟,10,,1,03052,057,,
0559,彌,4,,1,03084,057,,
0560,形,4,,1,03101,059,,
0561,彼,38,,1,03124,060,,
0562,往,2,,1,03128,060,,
0563,律,8,,1,03137,060,,
0564,後,8,,1,03138,060,,
0565,得,46,,1,03145,060,,
0566,從,17,,1,03151,060,,
0567,微,2,,1,03165,060,,
0568,徳,18,,1,03172,060,,
0569,心,44,,1,03179,061,,
0570,忍,4,,1,03184,061,,
0571,忘,3,,1,03196,061,,
0572,快,2,,1,03208,061,,
0573,念,14,,1,03214,061,,
0574,思,8,,1,03239,061,,
0575,性,4,,1,03244,061,,
0576,恐,2,,1,03272,061,,
0577,悉,5,,1,03312,061,,
0578,悔,4,,1,03320,061,,
0579,患,3,,1,03329,061,,
0580,悲,30,,1,03335,061,,
0581,悶,2,,1,03339,061,,
0582,情,7,,1,03348,061,,
0583,惑,3,,1,03355,061,,
0584,惜,3,,1,03364,061,,
0585,惟,3,,1,03365,061,,
0586,惠,3,,1,03366,061,,
0587,惡,48,,1,03367,061,,
0588,惱,16,,1,03372,061,,
0589,意,12,,1,03395,061,,
0590,愍,4,,1,03402,061,,
0591,愚,7,,1,03404,061,,
0592,愛,4,,1,03405,061,,
0593,慈,18,,1,03439,061,,
0594,慢,3,,1,03458,061,,
0595,慧,12,,1,03462,061,,
0596,慳,2,,1,03471,061,,
0597,憂,2,,1,03486,061,,
0598,喜,10,,1,01412,030,,
0599,應,33,,1,03550,061,,
0600,成,8,,1,03610,062,,
0601-0602,我,90,,1,03611,062,,
0603,戒,10,,1,03612,062,,
0604-0605,或,69,,1,03617,062,,
0606,戸,2,,1,03640,063,,
0607,所,47,,1,03647,063,,
0608,打,2,,1,03666,064,,
0609,承,3,,1,03690,064,,
0610,持,8,,1,03780,064,,
0611,損,2,,1,03939,064,,
0612,捨,8,,1,03835,064,,
0613,提,2,,1,03896,064,,
0614,摩,2,,1,04009,064,,
0615,擾,3,,1,04142,064,,
0616,攝,7,,1,04192,064,,
0617,放,2,,1,04233,066,,
0618-0619,故,71,,1,04243,066,,
0620,敬,8,,1,04286,066,,
0621,敷,2,,1,04296,066,,
0622,數,3,,1,04298,066,,
0623,變,4,,1,04319,066,,
0624,文,3,,1,04321,067,,
0625,斯,6,,1,04373,069,,
0626,新,5,,1,04376,069,,
0627,方,16,,1,04385,070,,
0628,於,47,,1,04389,070,,
0629-0630,施,59,,1,04391,070,,
0631,日,7,,1,04446,072,,
0632,昇,2,,1,04480,072,,
0633,明,9,1,2,04485,072,,
0634-0636,是,116,,1,04512,072,,
0637-0638,時,69,,1,04523,072,,
0639,普,7,,1,04557,072,,
0640,智,16,,1,04569,072,,
0641,暗,2,,1,04591,072,,
0642,暫,2,,1,04603,072,,
0643,曰,2,,1,04650,073,,
0644,曲,3,,1,04651,073,,
0645,更,9,,1,04654,073,,
0646,曾,3,,1,04661,073,,
0647,最,9,,1,04664,073,,
0648,會,6,,1,04667,073,,
0649,月,5,,1,04673,074,,
0650-0651,有,99,,1,04674,074,,
0652,服,4,,1,04679,074,,
0653,望,2,,1,04693,074,,
0654,期,2,,1,04699,074,,
0655,未,32,,1,04711,075,,
0656,本,3,,1,04713,075,,
0657,村,2,,1,04739,075,,
0658,杵,2,,1,04769,075,,
0659,林,2,,1,04803,075,,
0660,果,4,,1,04806,075,,
0661,染,2,,1,04848,075,,
0662,梵,4,,1,05010,075,,
0663,業,15,,1,05152,075,,
0664,槃,7,,1,05228,075,,
0665,樂,19,,1,05279,075,,
0666,樹,2,,1,05323,075,,
0667,機,2,,1,05368,075,,
0668,檀,3,,1,05391,075,,
0669,次,30,,1,05558,076,,
0670,欲,10,,1,05580,076,,
0671,歎,10,,1,05612,076,,
0672,歌,2,,1,05609,076,,
0673,歡,6,,1,05639,076,,
0674,止,3,,1,05641,077,,
0675,正,12,,1,05643,077,,
0676-0677,此,55,,1,05644,077,,
0678,歴,3,,1,05670,077,,
0679,死,3,,1,05686,078,,
0680,殊,3,,1,05717,078,,
0681,毀,8,,1,05812,079,,
0682,母,2,,1,05834,080,,
0683,毘,5,,1,05845,081,,
0684,水,5,,1,05952,085,,
0685,永,3,,1,05957,085,,
0686,求,17,,1,05964,085,,
0687,汝,15,,1,05983,085,,
0688,沙,8,,1,06031,085,,
0689-0691,法,111,,1,06074,085,,
0692,波,10,,1,06086,085,,
0693,洛,3,,1,06123,085,,
0694,活,3,,1,06145,085,,
0695,海,10,,1,06182,085,,
0696,涅,7,,1,06189,085,,
0697,渉,2,,1,06193,085,,
0698,淨,14,,1,06272,085,,
0699,深,8,,1,06285,085,,
0700,清,10,,1,06290,085,,
0701,測,2,,1,06335,085,,
0702,滅,17,,1,06432,085,,
0703,滿,3,,1,06476,085,,
0704,漉,2,,1,06484,085,,
0705,漏,2,,1,06487,085,,
0706,濟,3,,1,06641,085,,
0707,流,2,,1,06151,085,,
0708,然,5,,1,06885,086,,
0709,煩,9,,1,06921,086,,
0710,熱,2,,1,06957,086,,
0711,焔,3,,1,06882,086,,
0712-0713,爲,69,,1,07032,087,,
0714,父,2,,1,07035,088,,
0715,爾,22,,1,07043,089,,
0716,牆,2,,1,07047,091,,
0717,物,17,,1,07080,093,,
0718,犯,3,,1,07112,094,,
0719,狂,2,,1,07125,094,,
0720,猶,3,,1,07203,094,,
0721,獄,14,,1,07212,094,,
0722,獨,5,,1,07230,094,,
0723,獲,9,,1,07241,094,,
0724,王,12,,1,07262,096,,
0725,珠,2,,1,07291,096,,
0726,現,19,,1,07304,096,,
0727,理,6,,1,07307,096,,
0728,瑜,5,,1,07345,096,,
0729,甚,12,,1,07457,099,,
0730-0731,生,97,,1,07461,100,,
0732,用,9,,1,07469,101,,
0733,田,14,,1,07478,102,,
0734,由,7,,1,07479,102,,
0735-0736,男,70,,1,07483,102,,
0737,界,12,,1,07501,102,,
0738,畜,8,,1,07513,102,,
0739,畫,2,,1,07525,102,,
0740,異,9,,1,07530,102,,
0741,當,15,1,2,07535,102,,
0742,疑,4,,1,07559,103,,
0743,疾,6,,1,07591,104,,
0744,病,10,,1,07598,104,,
0745,癡,7,,1,07685,104,,
0746,發,5,,1,07707,105,,
0747,白,4,,1,07709,106,,
0748,百,9,,1,07710,106,,
0749,皆,14,,1,07717,106,,
0750,益,4,,1,07759,108,,
0751,盛,3,,1,07770,108,,
0752,盡,13,,1,07779,108,,
0753,目,5,,1,07790,109,,
0754,盲,3,,1,07796,109,,
0755,相,28,,1,07801,109,,
0756,眞,12,,1,07827,109,,
0757,眷,4,,1,07839,109,,
0758,眼,5,,1,07843,109,,
0759-0760,衆,86,,1,07844,109,,
0761,睹,2,,1,07870,109,,
0762,知,28,,1,07941,111,,
0763,石,2,,1,07954,112,,
0764,破,17,,1,07986,112,,
0765,磨,2,,1,08057,112,,
0766,示,4,,1,08097,113,,
0767,祕,3,,1,08116,113,,
0768,神,6,,1,08124,113,,
0769,福,33,,1,08148,113,,
0770,禪,13,,1,08162,113,,
0771,移,3,,1,08212,115,,
0772,種,33,,1,08244,115,,
0773,稱,3,,1,08248,115,,
0774,積,4,,1,08269,115,,
0775,穢,3,,1,08279,115,,
0776,空,7,,1,08296,116,,
0777,窮,14,2,2,08329,116,,
0778,立,5,,1,08354,117,,
0779,竝,3,,1,08361,117,,
0780,等,39,,1,08426,118,,
0781,策,2,,1,08438,118,,
0782,箭,2,,1,08479,118,,
0783,精,4,,1,08685,119,,
0784,經,19,,1,08856,120,,
0785,網,3,,1,08885,120,,
0786,縁,6,1,2,08924,120,,
0787,縛,4,,1,08963,120,,
0788,繋,3,,1,09030,120,,
0789,索,6,,1,08767,120,,
0790,終,8,,1,08795,120,,
0791,罪,14,,1,09125,122,,
0792,置,2,,1,09128,122,,
0793,罵,3,,1,09132,122,,
0794,羅,9,,1,09144,122,,
0795,羯,2,,1,09182,123,,
0796,習,3,,1,09214,124,,
0797,老,7,,1,09250,125,,
0798-0799,者,59,,1,09255,125,,
0800,而,30,,1,09264,126,,
0801,耶,11,,1,09292,128,,
0802,聖,4,,1,09308,128,,
0803,聚,7,,1,09314,128,,
0804,聞,25,,1,09315,128,,
0805,聽,8,,1,09335,128,,
0806,肉,13,,1,09348,130,,
0807-0808,能,53,,1,09429,130,,
0809,脩,21,,1,09462,130,,
0810,脱,6,,1,09463,130,,
0811,臣,4,,1,09596,131,,
0812,臥,2,,1,09599,131,,
0813,自,46,,1,09602,132,,
0814,至,14,,1,09610,133,,
0815,與,19,,1,09629,134,,
0816,興,2,,1,09630,134,,
0817,舍,6,,1,09638,135,,
0818,舞,2,,1,09656,136,,
0819,色,6,,1,09716,139,,
0820,花,2,,1,09758,140,,
0821,芻,44,,1,09765,140,,
0822-0823,若,61,,1,09788,140,,
0824,苦,25,,1,09789,140,,
0825,09804,42,,1,09804,140,,
0826,莊,5,,1,09869,140,,
0827,莫,9,,1,09886,140,,
0828,菩,31,,1,09919,140,,
0829,落,3,,1,09961,140,,
0830,著,7,,1,09972,140,,
0831,蓮,2,,1,10050,140,,
0832,薄,2,,1,10139,140,,
0833,薩,32,,1,10163,140,,
0834,藏,6,,1,10191,140,,
0835,藥,2,,1,10204,140,,
0836,處,26,,1,10270,141,,
0837,虚,5,,1,10272,141,,
0838,蜜,4,,1,10414,142,,
