カード番号,文字,字体数,用例数1,用例数2,用例数3,部首番号,大字典番号
0413,服,1,2,,,074,04679
0414,未,1,5,,,075,04711
0415,末,1,4,,,075,04712
0416,本,1,6,,,075,04713
0417,林,1,2,,,075,04803
0418,根,1,2,,,075,04922
0419,梵,1,3,,,075,05010
0420,槃,1,5,,,075,05228
0421,樂,1,4,,,075,05279
0422,樓,1,4,,,075,05293
0423,樹,1,11,,,075,05323
0424,檀,1,6,,,075,05391
0425,05573,1,2,,,076,05573
0426,欲,1,4,,,076,05580
0427,歡,1,8,,,076,05639
0428,此,1,47,,,077,05644
0429,歳,1,7,,,077,05666
0430,死,1,4,,,078,05686
0431,比,1,2,,,081,05841
0432,毛,1,2,,,082,05850
0433,民,1,2,,,083,05935
0434,水,1,3,,,085,05952
0435,求,1,4,,,085,05964
0436,汝,1,24,,,085,05983
0437,池,1,2,,,085,05986
0438,沙,1,4,,,085,06031
0439,河,1,6,,,085,06045
0440,油,1,10,,,085,06052
0441,法,1,39,,,085,06074
0442,流,1,4,,,085,06151
0443,浮,1,2,,,085,06175
0444,海,1,6,,,085,06182
0445,涅,1,4,,,085,06189
0446,深,1,4,,,085,06285
0447,清,1,3,,,085,06290
0448,淨,1,13,,,085,06272
0449,滅,1,16,,,085,06432
0450,滿,1,9,,,085,06476
0451,漢,1,2,,,085,06499
0452,火,1,4,,,086,06776
0453-0454,無,1,52,,,086,06872
0455,然,1,11,,,086,06885
0456,照,1,4,,,086,06918
0457,燈,1,10,,,086,06971
0458,燒,1,5,,,086,06978
0459,爲,1,32,,,087,07032
0460,父,1,4,,,088,07035
0461,爾,1,15,,,089,07043
0462,牟,1,11,,,093,07074
0463,物,1,4,,,093,07080
0464,猶,1,4,,,094,07203
0465,王,1,32,,,096,07262
0466,珍,1,2,,,096,07287
0467,珞,1,2,,,096,07290
0468,現,1,13,,,096,07304
0469,瓔,1,3,,,096,07397
0470,瓶,1,2,,,098,07426
0471,甚,1,2,,,099,07457
0472,生,1,39,,,100,07461
0473,由,1,5,,,102,07479
0474,男,1,7,,,102,07483
0475,界,1,18,,,102,07501
0476,畢,1,2,,,102,07520
0477,當,1,24,,,102,07535
0478,病,1,6,,,104,07598
0479,發,1,5,,,105,07707
0480,白,1,6,,,106,07709
0481,百,1,19,,,106,07710
0482,皆,1,18,,,106,07717
0483,益,1,4,,,108,07759
0484,盡,1,8,,,108,07779
0485,相,1,2,,,109,07801
0486,眞,1,3,,,109,07827
0487,眼,1,2,,,109,07843
0488,衆,1,50,,,109,07844
0489,瞻,1,3,,,109,07907
0490,M23523,1,3,,,109,
0491,知,1,6,,,111,07941
0492,破,1,3,,,112,07986
0493,示,1,2,,,113,08097
0494,祇,1,6,,,113,08107
0495,祕,1,2,,,113,08116
0496,神,1,16,,,113,08124
0497,福,1,4,,,113,08148
0498,禮,1,2,,,113,08165
0499,種,1,10,,,115,08244
0500,空,1,7,,,116,08296
0501,窮,1,2,,,116,08329
0502,第,1,11,,,118,08412
0503,等,1,30,,,118,08426
0504,精,1,3,,,119,08685
0505,累,1,4,,,120,08778
0506,終,1,2,,,120,08795
0507-0508,經,1,53,,,120,08856
0509,緊,1,3,,,120,08906
0510,繞,1,2,,,120,09020
0511,羅,1,32,,,122,09144
0512,義,1,3,,,123,09177
0513,習,1,3,,,124,09214
0514,老,1,2,,,125,09250
0515,者,1,33,,,125,09255
0516,而,1,21,,,126,09264
0517,耨,1,6,,,127,09286
0518,聖,1,2,,,128,09308
0519,聞,1,25,,,128,09315
0520,聲,1,16,,,128,09328
0521,能,1,30,,,130,09429
0522,脩,1,11,,,130,09462
0523,臂,1,5,,,130,09568
0524,自,1,9,,,132,09602
0525,至,1,7,,,133,09610
0526,臺,1,6,,,133,09617
0527,與,1,2,,,134,09629
0528,舌,1,4,,,135,09636
0529,舍,1,6,,,135,09638
0530,般,1,2,,,137,09665
0531,色,1,5,,,139,09716
0532,若,1,32,,,140,09788
0533,苦,1,4,,,140,09789
0534,莊,1,3,,,140,09869
0535-0536,菩,1,61,,,140,09919
0537,華,1,36,,,140,09921
0538,萬,1,19,,,140,09954
0539,09905,1,2,,,140,09905
0540,蓋,1,4,,,140,10040
0541,蓮,1,4,,,140,10050
0542-0543,薩,1,64,,,140,10163
0544,藐,1,6,,,140,10192
0545,藥,2,5,4,,140,10204
0546,虚,1,7,,,141,10272
0547,行,1,15,,,144,10614
0548,衣,1,4,,,145,10637
0549,要,1,3,,,146,10822
0550,覆,1,2,,,146,10826
0551,見,1,25,,,147,10831
0552,解,1,8,,,148,10875
0553,言,1,26,,,149,10890
0554,訶,1,10,,,149,10936
0555,誓,1,2,,,149,11008
0556,語,1,6,,,149,11017
0557,誦,1,5,,,149,11023
0558,説,1,31,,,149,11025
0559-0560,諸,1,77,,,149,11085
0561,M04574,1,2,,,030,M04574
0562,譬,1,2,,,149,11189
0563,議,1,2,,,149,11195
0564,護,1,3,,,149,11200
0565,讀,1,5,,,149,11207
0566,讚,1,6,,,149,11229
0567,起,1,5,,,156,11461
0568,足,1,5,,,157,11495
0569,身,1,25,,,158,11715
0570,軍,1,2,,,159,11745
0571,輪,1,2,,,159,11827
0572,轉,1,2,,,159,11856
0573,辟,1,4,,,160,11898
0574,迦,1,17,,,162,11960
0575,通,1,6,,,162,12000
0576,進,1,3,,,162,12022
0577,遙,1,2,,,162,12062
0578,還,1,7,,,162,12108
0579,03157,1,7,,,060,03157
0580,過,1,4,,,162,12046
0581,道,1,7,,,162,12051
0582,邊,1,11,,,162,12115
0583,那,1,9,,,163,12134
0584,釋,1,12,,,165,12371
0585,量,1,24,,,166,12376
0586,鐵,1,2,,,167,12654
0587,長,1,2,,,168,12698
0588,間,1,5,,,169,12724
0589,12736,1,2,,,169,12736
0590,閻,1,2,,,169,12757
0591,闇,1,3,,,169,12768
0592,闥,1,3,,,169,12800
0593,阿,1,23,,,170,12830
0594,陀,1,7,,,170,12831
0595,除,1,4,,,170,12855
0596,隨,1,5,,,170,12927
0597,雖,1,2,,,172,12991
0598,離,1,2,,,172,13001
0599,難,1,4,,,172,13002
0600,雨,1,3,,,173,13012
0601,雲,1,2,,,173,13020
0602,震,1,2,,,173,13036
0603,青,1,2,,,174,13095
0604,非,1,3,,,175,13104
0605,頂,1,2,,,181,13296
0606,須,1,3,,,181,13304
0607,頭,1,3,,,181,13346
0608,顏,1,2,,,181,13380
0609,願,1,5,,,181,13391
0610,養,1,27,,,184,13551
0611,餘,1,2,,,184,13565
0612,香,1,22,,,186,13667
0613,高,1,3,,,189,13940
0614,魔,1,4,,,194,14088
0615,黒,1,2,,,203,14709
0616,龍,1,5,,,212,14876
0617,宿,2,8,5,,040,02355
0618,寫,2,2,1,,040,02396
0619,就,2,1,1,,043,02464
0620,所,1,36,,,063,03647
0621,教,2,4,1,,066,04261
0622,栴,1,6,,,075,04918
0623,處,2,4,1,,141,10270
