,,khm_宮廷守屋,khm_宮廷守屋,khm_宮廷守屋,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00013,不,0157,1,31,001
00009,下,0158,1,10,001
00001,一,0159,1,64,001
00007,三,0161,1,42,001
09954,萬,0162,1,39,140
00026,丘,0163,1,13,001
00051,中,0164,1,21,002
00102,乘,0165,1,11,004
00078,乃,0166,1,16,004
00088,之,0167,1,32,004
00085,久,0168,1,5,004
00118,乾,0169,1,4,005
00109,也,0170,1,3,005
00125,了,0171,1,4,006
00128,事,0172,1,7,006
00129,二,0173,1,25,007
00133,云,0174,1,2,007
00132,于,0175,1,8,007
00135,五,0176,1,16,007
00154,亦,0177,1,16,008
00938,化,0178,1,16,021
00345,信,0179,1,7,009
00385,値,0180,1,6,009
00236,伽,0181,1,5,009
00350,倶,0182,1,8,009
00299,供,0183,1,17,009
00183,他,0184,1,5,009
00216,伎,0185,1,2,009
00255,佛,0186,1,138,009
00175,今,0189,1,25,009
00193,令,0190,1,6,009
00520,億,0191,1,33,009
00194,以,0192,1,54,009
00406,偈,0194,1,23,009
00282,來,0195,1,25,009
00168,人,0196,1,34,009
00250,何,0197,1,11,009
00245,住,0198,1,8,009
00240,但,0199,1,2,009
00321,便,0200,1,15,009
00570,免,0201,1,2,010
00562,充,0202,1,4,010
00567,光,0203,1,19,010
00566,先,0204,1,2,010
00582,入,0205,1,20,011
00591,兩,0206,1,2,011
00597,六,0207,1,34,012
00599,共,0208,1,17,012
00606,具,0209,1,6,012
00594,八,0210,1,8,012
00605,其,0211,1,22,012
00723,出,0212,1,16,017
00734,分,0213,1,5,018
00769,到,0214,1,3,018
00763,別,0215,1,5,018
00794,前,0216,1,12,018
00767,利,0217,1,7,018
00789,則,0218,1,14,018
00735,切,0219,1,17,018
00893,勝,0220,1,15,019
00857,功,0221,1,3,019
00887,動,0222,1,5,019
00856,力,0223,1,13,019
00865,劫,0224,1,24,019
00900,勤,0225,1,2,019
00919,勿,0226,1,3,020
00941,北,0227,1,5,021
00985,十,0228,1,44,024
01010,南,0229,1,6,024
00987,千,0230,1,26,024
01049,卽,0231,1,19,026
01101,去,0232,1,5,028
01108,又,0233,1,6,029
01128,受,0234,1,21,029
01111,及,0235,1,26,029
01127,取,0236,1,4,029
01295,哀,0237,1,13,030
01154,可,0238,1,8,030
01349,唯,0239,1,17,030
01212,吹,0240,1,3,030
01305,哉,0241,1,2,030
01168,各,0242,1,31,030
01252,命,0243,1,2,030
01412,喜,0244,1,10,030
01395,善,0245,1,7,030
01175,名,0246,1,27,030
14720,默,0247,1,4,203
01219,告,0248,1,7,030
01174,同,0249,1,7,030
01581,嚴,0250,1,6,030
01607,四,0251,1,12,031
01641,圍,0252,1,6,031
01611,因,0253,1,12,031
01639,國,0254,1,15,031
01740,城,0255,1,13,032
01863,墮,0256,1,2,032
01710,垂,0257,1,7,032
01659,在,0258,1,15,032
01798,場,0259,1,7,032
01682,坐,0260,1,13,032
01666,地,0261,1,4,032
01831,塵,0262a,2,3,032
01831b,塵,0262b,2,2,032
01654,土,0263,1,13,032
01853,增,0264,1,3,032
01938,多,0265,1,23,036
01947,天,0266,1,71,037
01957,失,0268,1,2,037
01974,奉,0269,1,8,037
01946,大,0270,1,61,037
02031,如,0272,1,45,038
02045,妙,0273,1,8,038
02142,婆,0274,1,7,038
02029,好,0275,1,2,038
02262,子,0276,1,25,039
02390,實,0277,1,6,040
02407,寶,0278,1,7,040
02333,宣,0279,1,5,040
02327,宜,0280,1,2,040
02357,寂,0281,1,3,040
02355,宿,0282,1,3,040
02325,定,0283,1,7,040
02309,安,0284,1,12,040
02349,家,0285,1,5,040
02342,宮,0286,1,31,040
02332,室,0287,1,3,040
02430,尋,0288,1,7,041
02425,將,0289,1,3,041
02436,導,0290,1,14,041
02429,尊,0291,1,38,041
02439,小,0292,1,8,042
02440,少,0293,1,3,042
02496,展,0294,1,2,044
02515,屬,0295,1,2,044
02528,山,0296,1,4,046
00951,匝,0297,1,5,022
02847,常,0298,1,14,050
02835,師,0299,1,24,050
02806,希,0300,1,7,050
02902,并,0301,1,6,051
02946,座,0302,1,10,053
02993,廣,0303,1,4,053
02944,度,0304,1,32,053
03084,彌,0305,1,20,057
03052,弟,0306,1,3,057
03044,引,0307,1,2,057
03159,復,0308,1,13,060
03124,彼,0309,1,22,060
03138,後,0310,1,6,060
03165,微,0311,1,3,060
03172,德,0312,1,10,060
03151,從,0313,1,10,060
03145,得,0314,1,47,060
03128,往,0315,1,2,060
03179,心,0316,1,26,061
03194,志,0317,1,2,061
03372,惱,0318,1,10,061
03402,愍,0319,1,15,061
03462,慧,0320,1,18,061
03585,懷,0321,1,2,061
03589,懼,0322,1,2,061
03474,慶,0323,1,3,061
03335,悲,0324,1,5,061
03267,恆,0325,1,8,061
03405,愛,0326,1,4,061
03214,念,0327,1,8,061
03486,憂,0328,1,2,061
03312,悉,0329,1,4,061
03367,惡,0330,1,10,061
03439,慈,0331,1,3,061
03373,想,0332,1,6,061
03208,快,0333,1,2,061
03233,怖,0334,1,5,061
03297,恭,0335,1,5,061
03298,息,0336,1,10,061
03550,應,0337,1,4,061
03356,惓,0338,1,2,061
03549,懈,0339,1,2,061
02105,威,0340,1,5,038
03610,成,0341,1,14,062
03611,我,0342,1,45,062
01288,咸,0343,1,5,030
03647,所,0344,1,60,063
03835,捨,0346,1,3,064
03780,持,0347,1,3,064
03880,推,0348,1,5,064
04009,摩,0349,1,5,064
03896,提,0350,1,24,064
04087,擊,0351,1,4,064
04243,故,0352,1,18,066
04286,敬,0353,1,6,066
04296,敷,0354,1,2,066
04261,教,0355,1,5,066
04298,數,0356,1,10,066
04263,救,0357,1,4,066
04280,散,0358,1,11,066
04376,新,0359,1,2,069
04373,斯,0360,1,3,069
04385,方,0361,1,38,070
04389,於,0362,1,56,070
06872,無,0364,1,49,086
04442,旣,0365,1,5,071
04446,日,0366,1,2,072
07882,瞑,0367,1,5,109
04453,旬,0368,1,6,072
04490,昔,0369,1,10,072
04512,是,0370,1,82,072
04569,智,0372,1,31,072
04485,明,0373,1,21,072
04557,普,0374,1,6,072
04523,時,0375,1,58,072
04640,曠,0377,1,2,072
04636,曜,0378,1,8,072
04650,曰,0379,1,10,073
04654,更,0380,1,4,073
04661,曾,0381,1,12,073
04664,最,0382,1,2,073
04674,有,0383,1,49,074
05161,極,0384,1,3,075
04922,根,0385,1,2,075
05010,梵,0386,1,44,075
04711,未,0387,1,23,075
04713,本,0388,1,2,075
05152,業,0389,1,2,075
05323,樹,0390,1,10,075
04765,東,0391,1,6,075
05279,樂,0392,1,9,075
05228,槃,0393,1,11,075
05612,歎,0394,1,4,076
05639,歡,0395,1,8,076
05580,欲,0396,1,15,076
05641,止,0397,1,6,077
05643,正,0398,1,2,077
05644,此,0399,1,37,077
05676,歸,0400,1,3,077
05686,死,0401,1,6,078
05809,殿,0402,1,30,079
05841,比,0403,1,14,081
05935,民,0404,1,2,083
06074,法,0405,1,71,085
06476,滿,0407,1,6,085
05964,求,0408,1,8,085
06045,河,0409,1,7,085
06086,波,0410,1,2,085
06487,漏,0411,1,5,085
05983,汝,0412,1,20,085
06031,沙,0413,1,23,085
06499,漢,0414,1,3,085
06517,漸,0415,1,2,085
06272,淨,0416,1,4,085
06285,深,0417,1,8,085
06490,演,0418,1,4,085
05957,永,0419,1,2,085
06432,滅,0420,1,43,085
06313,減,0421,1,5,085
06921,煩,0422,1,3,086
06885,然,0423,1,7,086
14725,點,0424,1,3,203
06918,照,0425,1,6,086
07032,爲,0426,1,49,087
07035,父,0427,1,2,088
07043,爾,0428,1,29,089
07250,獻,0429,1,4,094
07203,猶,0430,1,2,094
07262,王,0431,1,51,096
07304,現,0433,1,10,096
07287,珍,0434,1,5,096
07456,甘,0435,1,3,099
07457,甚,0436,1,12,099
07461,生,0437,1,60,100
07535,當,0439,1,17,102
07479,由,0440,1,11,102
07530,異,0441,1,2,102
07501,界,0442,1,5,102
07503,畏,0443,1,4,102
07580,疲,0444,1,5,104
07674,癈,0445,1,2,104
07707,發,0446,1,2,105
07717,皆,0447,1,32,106
07709,白,0448,1,4,106
07710,百,0449,1,36,106
07759,益,0450,1,8,108
07770,盛,0451,1,5,108
07779,盡,0452,1,5,108
07843,眼,0453,1,3,109
07827,眞,0454,1,4,109
07801,相,0455,1,23,109
07844,眾,0456,1,78,109
M23523,睺,0458,1,4,109
07839,眷,0459,1,2,109
07941,知,0460,1,26,111
08077,礙,0461,1,2,112
07986,破,0462,1,2,112
08165,禮,0463,1,7,113
08097,示,0464,1,5,113
08162,禪,0465,1,7,113
08148,福,0466,1,4,113
08124,神,0467,1,4,113
08248,稱,0468,1,2,115
08244,種,0469,1,10,115
08296,空,0470,1,4,116
08371,童,0471,1,2,117
08412,第,0472,1,7,118
08426,等,0473,1,61,118
08469,算,0475,1,2,118
08685,精,0476,1,2,119
08747,納,0477,1,7,120
08924,緣,0478,1,25,120
08906,緊,0479,1,4,120
08809,絶,0480,1,3,120
09020,繞,0481,1,11,120
08856,經,0482,1,16,120
09144,羅,0483,1,32,122
09177,義,0484,1,2,123
09250,老,0485,1,3,125
09255,者,0486,1,21,125
09264,而,0487,1,50,126
09286,耨,0488,1,14,127
09290,耳,0489,1,4,128
09328,聲,0490,1,18,128
09308,聖,0491,1,6,128
09315,聞,0492,1,24,128
09429,能,0493,1,10,130
09462,脩,0494,1,6,130
09463,脱,0495,1,10,130
09602,自,0496,1,10,132
09610,至,0497,1,13,133
09716,色,0498,1,5,139
09943,萎,0499,1,2,140
09788,若,0500,1,13,140
09869,莊,0501,1,2,140
10008,蒙,0502,1,4,140
10192,藐,0503,1,14,140
10163,薩,0504,1,14,140
09921,華,0505,1,28,140
09919,菩,0506,1,38,140
09789,苦,0507,1,16,140
10050,蓮,0508,1,2,140
10270,處,0509,1,16,141
10614,行,0510,1,15,144
10706,裓,0511,1,4,145
10637,衣,0512,1,4,145
10831,見,0513,1,31,147
10856,覺,0514,1,4,147
10848,親,0515,1,3,147
10859,觀,0516,1,2,147
10887,觸,0517,1,4,148
10875,解,0518,1,8,148
11189,譬,0519,1,3,149
11049,請,0520,1,15,149
11025,虔,0521,1,47,149
10890,言,0522,1,29,149
11171,識,0523,1,7,149
11229,讚,0524,1,7,149
11085,諸,0525,1,125,149
10974,詣,0528,1,10,149
11195,議,0529,1,4,149
10930,許,0530,1,4,149
11200,護,0531,1,3,149
11095,謂,0532,1,2,149
11017,語,0533,1,2,149
11155,證,0534,1,2,149
11485,趣,0535,1,3,156
11548,路,0536,1,5,157
11689,躍,0537,1,4,157
11565,踊,0538,1,4,157
11495,足,0539,1,7,157
11715,身,0540,1,2,158
11827,輪,0541,1,20,159
11856,轉,0542,1,24,159
11908,辨,0543,1,2,160
11982,退,0544,1,7,162
12022,進,0545,1,4,162
12108,還,0546,1,6,162
11960,迦,0547,1,2,162
12051,道,0548,1,41,162
12000,通,0549,1,23,162
12052,達,0550,1,3,162
03157,徧,0551,1,2,060
11948,近,0552,1,6,162
12040,遇,0553,1,2,162
12046,過,0554,1,16,162
12070,遠,0555,1,9,162
12115,邊,0556,1,4,162
12134,那,0557,1,9,163
12373,重,0558,1,5,166
12376,量,0559,1,20,166
12698,長,0560,1,4,168
12709,門,0561,1,7,169
12800,闥,0562,1,4,169
12716,開,0563,1,5,169
12724,間,0564,1,15,169
12929,險,0565,1,8,170
12927,隨,0566,1,4,170
12935,隱,0567,1,9,170
12830,阿,0568,1,21,170
12963,集,0569,1,4,172
13002,難,0570,1,10,172
12961,雄,0571,1,2,172
13020,雲,0572,1,2,173
13073,露,0573,1,3,173
13036,震,0574,1,3,173
13012,雨,0575,1,9,173
13103,靜,0576,1,3,174
13104,非,0577,1,8,175
13108,面,0578,1,7,176
13281,音,0579,1,3,180
13398,類,0580,1,2,181
13304,須,0581,1,6,181
13416,顯,0582,1,2,181
13391,願,0583,1,19,181
13346,頭,0584,1,6,181
13307,頌,0585,1,6,181
13423,風,0586,1,2,182
13542,飾,0587,1,4,184
13641,饒,0588,1,7,184
13551,養,0589,1,17,184
13565,餘,0590,1,7,184
13667,香,0591,1,3,186
13940,高,0592,1,3,189
14088,魔,0593,1,3,194
14775,鼓,0594,1,4,207
14876,龍,0595,1,5,212
00025,世,0596a,2,38,001
00025b,世,0596b,2,22,001
00256,作,0598a,2,20,009
00256b,作,0598b,2,11,009
02783,已,0599a,2,29,049
02783b,已,0599b,2,3,049
06189,涅,0600a,2,9,085
06189b,涅,0600b,2,2,085
09175,羣,0601a,2,1,123
09175b,羣,0601b,2,1,123
09629,與,0602a,2,5,134
09629b,與,0602b,2,5,134
10820,西,0603,1,6,146
